,PM10,NO2,NO,NOX
5386,4.84718108938285,32.39910236382715,12.12112756424686,51.38664692290377
5387,10.0,40.97352234259959,16.669091524994386,66.99020832036875
5388,20.08117704798952,33.23365296715953,9.34901069073949,41.32560627787282
5389,27.0,37.08648033582117,5.626142971356002,46.194706694651764
5390,9.857184296772015,26.394946335680242,10.349970992259589,42.72575904051378
5391,30.70870296381127,43.06562605104787,8.769436278246676,57.62010668495191
5392,9.019682732915223,37.994385031887255,5.640787309316608,46.16179886128533
5393,25.0,47.735150486745674,8.115989554955389,60.34571905421604
5394,27.34601374743364,32.31840961313975,11.244054989734572,50.132934022382315
5395,14.327924138649113,50.267755515769316,14.747795587384546,72.02693679483761
5396,9.72278357614558,54.332454094486735,6.623628856513922,65.12497935541329
5397,31.215887916834188,43.13853388804491,8.496190384805582,57.4806308228706
5398,8.727945829235155,27.271313758606173,11.205953044166554,43.16589798623012
5399,9.255476787660186,29.434015777768394,9.434083469779772,42.057082778858096
5400,30.515588430337985,38.3461333183743,16.738431795132726,63.80188933530751
5401,15.187935187565019,30.25447843332721,5.899257499357445,41.76445500385533
5402,11.607593459210372,37.91240537356582,5.930125001355098,47.46493458126294
5403,16.29951591504467,27.655939853947828,11.008261405875878,46.87700072913449
5404,10.0,26.661517891812363,8.464145651786925,42.78565297783025
5405,31.200427237451144,44.519830040931005,10.614179439729481,61.231109881461514
5406,37.09343920277962,40.28782282409994,17.20770412598212,60.188190565003325
5407,21.447870688917682,27.452403376836255,20.169667184139126,57.794738161175204
5408,19.399757096650777,34.04895461016244,15.562381358258278,56.4502793388516
5409,50.6728146282577,33.545533165431934,4.9951565444172585,41.85238996170129
5410,21.652396774844476,34.361284290263995,26.748996110301007,72.69194152936944
5411,17.023083495601938,47.8788458252199,12.510791300722948,67.29150850455473
5412,37.6987381974112,33.92018918459482,14.079479570777247,56.225394334757375
5413,14.12842531638851,33.97513701265554,14.421832303786047,56.11016441518665
5414,15.847366831151692,47.019650924694744,13.60717544389616,67.84607162754813
5415,9.521967345333962,24.42917379561345,12.928648901345337,44.52664849807675
5416,17.567299502027957,20.905268497741094,13.909884537578856,42.031585432773774
5417,15.329117254062595,42.561524803762666,20.734047436099907,74.60303470017178
5418,17.236826197656654,41.294953021271006,2.101835264992361,44.7696774554432
5419,36.72235553539791,43.930088608213445,5.529580955304378,55.966352227765576
5420,27.046502360051853,36.89002789624392,5.789288516477263,46.15930844236578
5421,10.553120745566495,30.29121504864285,8.507184521896546,43.91752303894334
5422,25.82480699512233,34.46747709534163,8.869965003195068,48.52601955641472
5423,16.0,33.61529043178526,4.808127505508814,42.36664977723448
5424,17.516910805071984,32.549323567797124,20.905794923739535,65.12824143080738
5425,16.92443282958094,27.759345528940013,11.931132674274453,46.51113267427445
5426,22.8558487529021,35.57630957366503,5.788196138341609,45.00177629398566
5427,19.002193564590822,42.58238550149252,10.200751295872356,58.71088290974781
5428,50.945248584306974,33.790723725876276,4.632819382871725,41.36745751993359
5429,16.421981471227163,33.04886073007625,22.405760087106533,67.86488553648252
5430,48.321227844650075,40.774706010673796,5.046219916117988,48.92926862737478
5431,60.0326946899472,32.482318812483314,7.229338797633261,45.049744859284154
5432,10.280751958610477,33.246540679231316,21.98872699704362,66.32415404656321
5433,39.17324156248665,30.661183481247594,11.46787478132877,43.33941749690664
5434,18.405161052102144,30.016916548300227,12.126903368738713,49.27298170762444
5435,14.109190000858105,50.211479047850446,13.146778800446214,68.70908099991419
5436,9.764824857316382,38.02147237285975,5.502331525683051,46.33061322003644
5437,48.1705776962026,40.688082175316495,5.068315271223618,48.87177048738399
5438,17.730515230729168,52.85173052511806,8.459379164578126,66.41200797226043
5439,11.0,31.047010569817733,9.116624981085565,44.54370552354201
5440,14.136167315535229,30.440498755283006,23.41758490248461,67.06881700389322
5441,18.262653486534848,28.48580912282455,11.622530697306969,46.37913347226805
5442,19.58130669521782,32.42192192177039,9.278092548465445,43.04107267922863
5443,4.436003170906789,32.143121331780854,11.656742267198354,50.57170499417819
5444,30.264352091523996,39.109159395069746,15.928611254914397,63.992363319271824
5445,13.0,53.43517689846563,11.943294657499846,67.89074725077563
5446,13.876554203894974,24.410110978579205,10.496056858648583,42.17148758316171
5447,49.14372513257645,40.61542567411707,5.008360217739731,48.7593931255057
5448,27.01786459782688,30.036756685452975,17.31538706628625,57.047352172047205
5449,6.320772431428675,33.74959500697126,4.59474006896204,41.25887577793338
5450,17.952892461032633,20.732161247375792,13.623727194995128,42.09176653271128
5451,23.0,32.940906092534284,13.35633958943626,53.87244628044693
5452,26.574871452379053,22.50784917079142,14.440498096908428,46.23326909301985
5453,13.645976531064939,43.083301257041455,13.393921961109506,64.07866236298825
5454,22.212621613009887,31.863913222833432,13.445650277331893,53.20371864201761
5455,18.640817120128883,32.1181426071594,13.52585778170375,53.700837936995256
5456,33.89071697979442,34.60098716908898,8.769953205955357,48.57531169585256
5457,16.889513017597473,28.390762956843783,24.192809065218125,67.55915254276582
5458,11.337414653595586,27.858544839344784,9.060979516862941,42.21001411463919
5459,12.754141123060709,40.433580929632484,4.543515716964903,50.038382678376266
5460,22.691758784712537,38.76482813564285,9.507585932178573,54.66302411538806
5461,18.41917290632771,25.186870268377998,12.810686096076266,45.557340214252555
5462,49.04247601437287,39.21453252799865,6.07904428967661,49.00600105187933
5463,29.227146480967058,31.67862939071248,15.772464680411481,57.14631566276748
5464,25.48084371905133,33.047917929458784,8.641321572713062,46.75762377847278
5465,8.828409910141978,30.92286925673935,9.965253006803751,47.55021060821602
5466,15.70450976061965,23.54929997791602,14.235661318569505,42.90508525969262
5467,20.894643453359233,44.640424755528166,10.848915382775537,59.47259398997709
5468,13.414881266282663,24.553782585852908,10.53172770446832,42.33361899739477
5469,9.0,26.320083946040764,11.51930337609203,44.58334869596287
5470,44.71006823427745,38.895690169584455,12.746805458742196,58.98259403619351
5471,18.914886368576447,29.119799991305452,11.821068178854132,46.99960679614904
5472,20.600000795955594,31.014000111433784,5.814000390018242,41.508666735649484
5473,11.7163603661444,30.74430922111709,25.03436576200614,69.7864965986716
5474,40.50067681112006,32.1250067681112,5.020838837244563,42.381190779026994
5475,6.723858165775182,30.34807091711241,8.371167371256789,43.63241587443878
5476,16.91187686927584,33.128697906411055,4.487087986011719,41.74586216353035
5477,52.97763604182562,33.799808656464585,5.249136926805162,43.51610204988555
5478,23.0,35.15795376264306,1.7757447030176206,41.263401001977094
5479,14.697510069383604,42.84775774445807,13.126832442376566,63.43512383753723
5480,14.625755887575757,33.4524949607495,16.477384097238385,59.29352071410202
5481,10.284630891099154,38.74106172672283,6.868119421759879,47.97066238017864
5482,21.04566118730429,29.22159814155565,11.083698356191288,45.84776140193993
5483,14.920181192573128,43.970171509207354,1.1618703532349626,45.74119837622477
5484,38.96634333220822,34.44479178893764,10.51406158296767,51.02796345504175
5485,43.31937872434273,37.6280958094233,6.559702998787031,47.99805544581843
5486,13.684554980635202,36.11378833117185,27.630342186300773,78.2719820439526
5487,13.814152801710845,36.81167972844482,25.96243755496494,77.31509670583578
5488,15.102922957647776,33.05271738347959,16.375743128211457,58.82079887780926
5489,21.630036616239078,29.180402929299124,11.704249084594023,47.737765561901604
5490,48.74393190395048,32.91894819668475,4.067601134934159,40.78432646912471
5491,10.0,25.71283721236102,10.741279204353312,42.638773085287596
5492,12.0,35.65473952160478,26.68421199571875,78.12385196496918
5493,9.6875473746426,41.90124526253574,13.317893337997686,61.4217200849187
5494,21.574279878020246,24.504443186600945,12.824159673169135,45.269401225615745
5495,11.945583142688694,37.36111648163323,9.465272084286557,53.7033213004127
5496,4.484790590645959,22.166843985342275,12.551185076848295,41.906799738629054
5497,18.481524133425207,37.7296247246561,17.33336020405788,62.567407620667126
5498,17.9702075316632,37.251587238952695,10.6124152211656,54.90951406676061
5499,34.80203326663884,37.29948096347925,15.866040665332775,62.08354196147841
5500,14.59925088400561,52.32497505275102,5.973433215465919,63.336941342531276
5501,8.523482115110529,26.341420291620672,11.15376864501736,43.944788050162614
5502,22.18227015022064,38.50319795428598,6.7640886492488965,49.34910930503709
5503,12.211664832527138,34.523545983234435,7.022483571771472,46.98216318180156
5504,33.28641979983888,36.94153910197476,16.498312740059077,62.69685594806552
5505,29.11395050968716,38.075632460507,6.811097699791159,48.976581484709385
5506,11.664809373355357,26.61374193786182,8.559674465510057,41.52552493944068
5507,4.365411022084289,41.97489552804345,20.684839859194216,70.77613694586606
5508,18.0,49.20306160856151,11.097895587427084,66.67158053608742
5509,26.74766764662755,59.79992423343102,5.645708469794695,68.84021726151015
5510,27.717919270635953,31.97489005220571,7.745144401150226,44.78566458349124
5511,27.0,29.022770780084755,10.309076382394863,43.27015928454193
5512,8.0,33.94474267796409,11.505936192565487,52.193216527461985
5513,16.806360684308615,32.03535081803951,23.18150621959001,69.85379802674618
5514,18.06177791567963,30.66177631514288,5.627334727017303,41.498223684857116
5515,25.07311788102619,37.139189986741854,5.3731612185847135,47.44247337733298
5516,55.437889249731754,33.017370250089414,5.632567469953504,43.34153719876743
5517,14.07718242512752,32.72536905449235,22.199228175748726,66.93899337784268
5518,12.0,40.75960501869124,6.993022344689362,51.81725816440573
5519,15.187148276954872,35.423719411946266,13.536979449893211,56.09839353461936
5520,15.481381137528771,29.336784069091337,9.65880158965003,44.66925524550115
5521,59.37449797828119,36.61494448230403,6.173735529962223,47.767421448366356
5522,27.679322675667528,30.61186790058225,12.577290702670116,50.47290912918088
5523,7.173749566921573,35.806446964863774,19.435828303644854,64.41351259094647
5524,21.0,37.69313582359136,18.352154774105863,64.92663749977939
5525,19.921749538211593,43.57241700280781,9.450310375587906,60.138711784227965
5526,18.0,47.21793128929161,12.285092711183873,66.50498679777063
5527,50.2952601747501,62.93962369831618,5.789331787767493,72.77461514600519
5528,51.022615053367176,33.9523889028335,5.924087168445572,44.318042666175295
5529,6.696295080467184,43.01625893402497,13.535370081610957,65.10414770437052
5530,14.145991718343097,46.65014339547933,20.652137750217015,78.76315017270237
5531,18.039349431560506,32.30760492905844,13.041676292406207,52.789614388814165
5532,19.0,28.194174195277924,12.000719438659178,46.414634345808864
5533,28.889733668147777,41.47455618904152,23.809207981713847,78.35700872680462
5534,11.109792691510167,38.19370976811423,5.216320238924103,46.92596563602111
5535,16.6077192179014,46.14883873347811,18.486659517358298,73.09533686982401
5536,20.63667948950152,31.019135128530213,5.8319729498557455,41.5118455557568
5537,54.245559277190694,57.83730913927257,5.539486326277266,66.78378298806697
5538,11.31616865814476,44.24220385111764,15.03073107539817,67.74462383737779
5539,6.684006227320662,43.01297166580827,13.532451478988657,65.09966227297204
5540,25.825236501960518,56.672599042038264,5.76931858556855,66.81565900399912
5541,24.250385329370957,35.77588997957733,27.14180653840186,74.44449162776951
5542,5.108020434855761,42.23825683259736,21.19313397171755,74.4189939978762
5543,26.47597003024431,53.283813653766956,5.480186011479255,63.430573186692506
5544,10.982156336561266,42.048752453254146,12.037503396813438,60.95982911183992
5545,10.650308121209317,27.718714841205614,9.424108686064168,42.80196302545488
5546,18.963809945505815,32.01639986716567,13.78586700613218,54.19017206744131
5547,39.65475382374337,34.14451782957009,11.552575968682241,52.340674439184895
5548,27.986762016656133,35.45118077335019,8.522404127303421,48.9726688869703
5549,19.1419454064001,32.867574781024274,19.54857285597592,63.41801384192814
5550,25.013956152868097,33.80533371524442,9.376729330531237,48.681055737920346
5551,3.0,32.001065611676665,11.5732810220541,49.236361183093486
5552,12.276379824690961,37.39331987698828,6.507536500073847,48.15437092111093
5553,11.520434674497833,33.870817386979915,13.978473894664631,55.9849808643759
5554,54.26545744083555,33.408180853054816,5.429345956411495,43.41774526634569
5555,4.501176724658855,30.49292923455045,10.742588254349414,47.43181161607457
5556,20.462873331194004,27.566190530808925,9.408091136392573,42.45786920218211
5557,16.29576961405086,57.08576604002697,12.636167823665875,72.85242443036701
5558,48.114331916638264,30.799766725384426,8.322511827536644,45.24680331711643
5559,17.466648318723827,29.908638410834694,11.441968074579458,50.38130929752821
5560,12.0,38.98179061085816,5.169593473344116,49.1889445898076
5561,17.264461196643513,42.549606296625285,20.72869898031742,75.0612400888727
5562,22.762341096753254,33.16674839930521,12.99488030066233,53.62700264450001
5563,41.3147394037056,29.081117684127133,8.14139249637261,42.02422230781575
5564,11.81509705263519,26.580678648420257,8.855741193691326,41.348185477890475
5565,9.925673509212086,41.87743264907879,12.1534565399529,60.64304762487648
5566,17.439362146225733,38.37145615448312,17.769324381485983,67.90467058136736
5567,12.89901664864319,24.3388114594598,10.94882942270453,42.19045574918895
5568,20.736889316481864,29.49363511085886,10.793733782305958,45.75184895088987
5569,10.36285670231048,27.051827549360315,9.789171988065691,42.836457195722744
5570,4.35410122106507,32.10872251284733,11.598182373061526,50.44270942317749
5571,21.413630059915505,39.62656096327145,7.098146514199633,51.16697453139504
5572,11.998450016714264,39.43783002339997,4.700898990305728,49.64525705114564
5573,23.716669155716833,31.60954417438471,17.196332487056278,59.36008491388019
5574,13.25959868130547,30.151633223442122,6.94,41.28672776263499
5575,27.920739080184177,52.86663659059682,5.431425056043784,62.79487480471896
5576,50.088074143097884,38.341458090513264,6.055518331780298,48.4152381091497
5577,5.387371866482318,23.882150055856208,12.295388276397395,43.18587453695438
5578,6.0,32.58051485102046,21.234832268945148,64.37879309854931
5579,14.839526541982146,22.262335545363882,15.48517342200531,41.663336083167586
5580,11.894706041121369,39.41788826863549,4.847411542430084,49.59050891323357
5581,20.126894427544308,35.48753917726786,18.775387874377717,64.7920177264243
5582,24.101537810801993,33.61803103820184,9.096492522435343,48.026585214062166
5583,21.0,27.780524686016253,9.718836054972313,43.6528648712634
5584,43.943333826529155,32.31330865267763,4.545474604210356,42.300483242092106
5585,12.176593800874855,40.126949885403185,4.177282349410428,48.883582904203124
5586,23.523475734300835,29.35805184545911,11.423966404878607,47.65518581743794
5587,63.569202944702575,37.078829502120044,6.294641731935545,48.423769401935814
5588,51.0,32.445753033162426,6.695101443681161,43.15814995139997
5589,12.295466640744934,24.37653333495344,11.151018675350446,42.163295998833526
5590,23.61056542786378,41.318482875547986,4.793003715647059,53.30143214789474
5591,12.363048765326504,33.24577435158258,4.605957376960314,42.152545117251215
5592,21.042403933229348,27.51579311684864,9.594277034533564,43.34964611204991
5593,10.163356777529795,27.14463797959827,7.3778347825594786,42.641985933482125
5594,11.058897654395317,26.38471811297523,9.704667707986411,41.9534645524041
5595,16.73893647161083,38.13756781083414,15.468003203650671,61.688047815180184
5596,10.967930195945126,32.120277070506255,10.0,43.90077227868399
5597,27.239092409306345,42.35083762381733,17.029214356665268,65.49799290437744
5598,16.999072921463718,27.84082509989729,10.979193441673434,45.85891531811255
5599,21.628924858380277,32.797668903698586,13.631785585915965,54.70119884205282
5600,19.21266399498294,35.33832744145494,29.356099261743427,74.01491044082782
5601,52.91044598135638,64.25219294070523,5.472736704039451,73.62806463164283
5602,23.695837268726255,41.048046349784244,5.351132146249016,54.383959317181564
5603,10.0,29.85362931457862,8.517511532827424,43.88256044502733
5604,4.60754738344027,31.003799491263884,12.820049900737345,51.69939609610144
5605,33.20941920109705,51.411867088062166,5.252321295959775,60.51532390376597
5606,30.84831776548139,33.89407336537555,8.075785979868163,47.51109485807631
5607,12.0,38.94022111694837,5.212195749711295,49.14711690028346
5608,27.455937010977173,35.657629596958714,6.3993461463559855,45.88908157275507
5609,26.92018464853533,33.86859169081591,14.947704562343475,58.909818700774544
5610,11.63415744794979,43.116928561880165,1.9831199742649372,45.78258152300938
5611,40.0,30.417468064931306,7.008700730739942,41.99683589796509
5612,11.407165464182121,38.363420432894436,9.783517407420234,56.01049947250242
5613,30.091548747520694,39.34503595963425,15.824929248512417,64.06926080735329
5614,11.44187427668956,35.47580069437802,22.135539684397525,64.86440686481387
5615,20.70785090681887,34.90472323702253,28.83652180988044,73.76820460037489
5616,39.413283214174434,30.27044360366824,10.514506236246202,43.45243608579441
5617,4.8591707876067805,39.36563598329593,17.652401978051255,68.04547995416245
5618,33.0,43.82902154764434,1.6632942063634695,46.788043095288664
5619,11.49073817145367,39.33305501600527,5.412966559964864,49.362267066871325
5620,27.52712825943635,31.833427941733703,16.503952325613994,63.34323266449682
5621,21.235268641079493,32.52998267593406,13.87060369107844,54.95707538329833
5622,27.707236754958526,28.159045811235114,14.213267649016712,50.67606355959911
5623,23.963983064194824,30.923258472627555,5.906877114613163,41.449313558094076
5624,18.82481555584447,35.275619044649574,28.34736013511882,73.48065055649452
5625,48.12405178853865,40.66132977840972,5.075139071014331,48.85401309929225
5626,7.4931414545579855,28.244530009078066,10.957122780000688,45.5039813254427
5627,16.95308360746957,45.49923572093748,19.15502207601623,73.05539666481187
5628,16.445896976349434,27.303209943917615,11.575766248477985,46.09481491587642
5629,17.904645927285795,30.583154728020123,12.20408391347728,50.95508616474439
5630,33.255074362838876,34.25774015593299,8.013538491778265,47.501075673197704
5631,5.738952656629166,39.486605990286506,18.074697275182,67.32405882156408
5632,11.950386624031797,39.37054127364451,4.728775758061557,49.4981830695373
5633,9.04851813459236,35.607942936009216,11.773018652892674,54.11873326422663
5634,16.049710135413616,43.82016036985578,20.042278270002928,73.8944517001766
5635,22.85831471319315,46.77131247877632,11.030179057265894,60.75072327189283
5636,8.04230814664959,34.47742272707981,21.104538725056763,65.67094253259154
5637,65.56271412700687,35.864217931120976,11.325516173308504,53.82291301426321
5638,22.35512823278829,33.548146161646294,12.827084614222892,53.67070769828227
5639,12.560778805590658,37.223711628801325,11.44897912528585,55.23998421075806
5640,11.109829737601652,38.193761632642314,5.216298752191042,46.92607899706106
5641,22.505103760021044,39.631073474425044,7.391255557830611,54.086275940005265
5642,12.512852122700634,31.19685385128561,6.5015669104305704,41.629718301839496
5643,17.57496451157045,21.070406762144447,13.332722673909247,42.105938830816115
5644,19.443161694195688,37.254727670929796,17.86685317616805,67.23471280056606
5645,46.050132425547545,39.44544520173501,13.000230168557488,59.83572014308342
5646,6.0,34.471034770661156,20.51838112743838,64.53202253343804
5647,22.5026805119676,46.38916505676477,11.399668075348904,60.11982890606696
5648,13.0,36.08587820112122,9.372172759718254,51.028714994352825
5649,9.839989548209836,24.489598014159867,12.257622053277247,42.88565393123725
5650,12.446012550973936,52.23103719483429,11.309678553465705,66.90874330086008
5651,31.82030558092428,39.64682968500407,16.196471593245118,63.046421453431385
5652,22.069432407509947,39.11262456493684,8.137705808466292,53.977358101877485
5653,20.670740195568396,36.816002008217716,10.213652255279387,53.01855441069363
5654,21.0,28.16064371497969,8.698066650029961,42.0041970100486
5655,10.087057137031625,28.612164857667153,9.792519148041853,42.139198853181504
5656,10.0,35.825626113662715,18.15082056397802,64.22739909252412
5657,12.013361460927547,33.8905344584371,14.062271448357683,56.00864135012452
5658,9.761763517561684,56.69057031500436,8.251144670298988,68.66558312551524
5659,15.26196283465491,30.48470441577677,5.8792700346431745,41.884379792140955
5660,21.297087383750807,31.21811650464997,6.572142397496256,41.94322977598373
5661,16.35494407584747,33.74297337439194,14.432973374391937,55.58417202840464
5662,29.042740167901155,42.807177949629654,9.708378272197494,58.10709606716046
5663,16.38260534726689,33.71991418192926,9.428229361607723,47.29139234234726
5664,10.938594837902734,39.217104915959574,6.185967226936172,49.050306083415045
5665,15.818445597393277,28.942418651049866,9.95204766973215,44.68273782389573
5666,36.254915447614465,35.41547090991131,15.472610108255418,59.644942009976845
5667,8.565542279113288,43.477489337745794,2.5960674632532026,47.91376282123003
5668,10.202263027415427,38.821782233132886,7.0509760791377545,48.129632357088234
5669,22.180228177614303,33.74533849916976,5.370882036815529,42.438144441071984
5670,11.860672587658696,37.26969803404547,5.985751521880131,47.40333559533747
5671,10.351616476326218,40.6885686395439,10.974249774923173,58.859919833691166
5672,19.40633708043871,30.84688719126142,5.229105169414968,41.40521588030469
5673,37.29046829703776,48.27988105997557,10.29916176318143,65.56886614137694
5674,5.080570394981079,31.110898414173274,9.260096243633537,45.77805703949811
5675,19.0,32.015619762021494,22.63214743030678,69.5310281063095
5676,7.985938368052654,40.22340182508854,5.964278005640149,46.59153598741042
5677,13.0,53.337890739962816,12.08025090005235,68.09382030007762
5678,9.0,25.07218251898864,13.09366002878648,46.2366864516353
5679,19.0,28.91672098156316,11.785844413979582,46.605896730413775
5680,19.0,39.10572889576379,2.8451041279662554,44.07489587203374
5681,15.620830472574905,51.263934684583546,7.17407755460131,63.90602447836972
5682,27.557408465079263,33.31185354412682,7.621610127476287,45.45475943906347
5683,18.0,31.73473543210792,12.774421809150358,52.12264997671576
5684,11.979797852973714,37.26787890011826,8.084040366627246,50.093939293114104
5685,13.040438250629569,30.13336985421913,6.94,41.247278885113325
5686,43.842203045363775,33.392698070847366,6.191689441261067,39.237998020830226
5687,18.715876323273086,26.16144945390332,12.594762896981926,45.93075256260894
5688,43.11647226617225,40.209321697532374,15.929513579805903,65.09278229967497
5689,18.54708757254607,33.971703869921775,3.9507172102258368,40.77017831128563
5690,54.723912461911404,36.54784761090722,8.653444753653122,50.44193354387129
5691,31.08113521628188,32.178964933839595,11.692380643090335,50.569696165905235
5692,17.738479493189583,24.586624541526685,12.166097115679598,44.522091197085714
5693,18.042860952198808,38.96114384757169,4.726421143212326,47.84069923881471
5694,52.48408918790261,33.13352040366852,6.112843921170432,43.87145578471012
5695,20.800409478042745,45.099381299899584,22.928262260075293,76.26344252747806
5696,27.1996612448703,33.856015243980835,14.500542008207521,58.33269952934283
5697,16.854162784939913,30.872713728933526,19.052911154614677,61.63676569004538
5698,25.304902850320897,42.00752260558142,25.39704473163204,76.70137709496102
5699,9.436502329649478,25.15062437974102,12.380021193924968,45.32557988932126
5700,7.661043690414707,32.05539805720188,6.061718447564942,41.844248786878325
5701,22.726698128428186,32.33890679251372,13.73791151177794,53.85495415456591
5702,27.0,31.641324265972123,8.637171970122756,44.880989563032415
5703,21.035492508521177,37.173034618995786,5.581295505112706,47.420585654942286
5704,17.081460722891073,54.60092687710933,10.671081356627557,69.40294929638698
5705,12.572165070147395,36.48876291823832,26.713840132560826,78.88621118626354
5706,19.0,27.231944227623135,12.28687279505325,46.15992641319436
5707,15.658820544227073,38.574586175516686,12.650880785719213,58.662171589811265
5708,22.02745350302527,34.32752918472773,27.10830045589821,72.88622091456709
5709,30.215903063925584,29.93329647913265,13.489233813390603,50.902819958392094
5710,48.368121226898694,39.12867927556455,6.029449698151896,48.80884242941455
5711,37.18638142072462,50.26794639075473,4.9690768333394955,58.816665278726106
5712,27.0,29.1892171356774,10.202803053313847,43.372550482880264
5713,11.433500692551542,35.48383933515052,22.16082790849434,64.87152441133118
5714,37.107798673057076,34.19584789752839,15.202530420198594,58.044364490229555
5715,29.527899047703706,26.311419171546667,8.084158247419257,42.05823874279111
5716,41.26391190173884,30.941757628125817,7.286589512917489,41.75028919948942
5717,29.087891917252065,33.05649350096023,10.85696839048786,50.21845730262293
5718,51.0,33.839917520479126,4.559917520479119,41.26989106478374
5719,8.087261188168196,43.388342367834994,13.865724532189946,65.61185033368139
5720,15.479687837081071,52.955284370280864,10.655680989773414,67.78349048410011
5721,5.059637694708003,35.716965196255515,2.9510611287694304,40.69977271132055
5722,36.97897631822017,44.12977998152671,5.375164553190639,55.974725437572715
5723,8.521670221698102,35.49469876973269,11.675713502688689,54.29343025444968
5724,27.685399147136206,42.72573528359441,18.59575100644808,66.09158086569116
5725,18.221894678561764,38.72144848108139,4.826642100892132,47.87797266625575
5726,12.88436939895534,42.394955230609874,12.516861088536746,62.044090557404544
5727,14.218835237621429,30.360028873434405,5.973434942871357,41.61102518739319
5728,20.139127133977198,39.744054395141966,2.6119134725829642,42.9791048711103
5729,21.898876318304247,41.31404456372172,2.5611237584049755,40.906404371992025
5730,35.595812921461274,38.085844994548076,16.32877594952518,61.41014520775334
5731,21.831823089517655,30.687151037657795,7.225900747819984,42.226092774016706
5732,58.62407799378333,59.034214458267776,5.893230221359221,68.5216718131164
5733,16.36194100366891,27.792650798034913,10.974551858018788,47.1348163451526
5734,7.123119307595551,28.62380270971456,10.936771561917755,45.853652254322206
5735,53.0,34.107036360604106,5.313888635226541,43.93553312460357
5736,23.395253284021337,47.00509812396405,10.923760880625114,60.27256960591744
5737,16.0,31.815783908767983,6.186213447896808,42.557716283915994
5738,40.28175735838268,43.8889149863933,22.66387392963284,79.09306016942782
5739,34.54604611052504,43.61724412838797,6.702067657954635,56.564837319605616
5740,13.197044822675995,35.91699424967757,7.199803648199913,49.094779846749105
5741,20.10782500355227,31.592418371785197,14.790363505612588,55.8953203794581
5742,11.42445327920643,54.26027087492102,9.386898607127073,66.16582504934605
5743,22.783785743133382,46.68784003230939,10.746223681338183,60.97729134087452
5744,6.11199164456289,42.47498648673564,13.964675632628946,65.01126796817056
5745,7.002948552674395,32.687169389432576,5.482594726353468,41.56126787764999
5746,14.795566766771012,55.552216974311264,12.233251395398028,70.18931086287118
5747,28.54040628795623,33.847069987854006,7.847679419788354,46.805358839576705
5748,10.672663311514631,38.424692969309554,7.698435676896816,49.05476733265413
5749,11.931502829578923,26.52869796688052,9.255276042766855,41.18993502411845
5750,11.408786887560849,38.01332393161356,9.467956065562197,55.018472125475924
5751,15.366520544539991,29.930229586623394,6.312855339094592,41.577286574252796
5752,18.57645204293285,28.69187017485924,11.68529040858657,46.4816410006914
5753,11.0,27.360288833268626,7.836722983929221,42.462615805068296
5754,59.162755165820045,32.42568390690136,6.686183844397721,44.17441878446309
5755,18.0,31.388293415711438,12.634973450349257,51.76313467668168
5756,17.46020625118464,27.272717467701593,12.218061875355392,46.46441234324652
5757,21.80616996669488,29.24821594883432,11.311850990008464,46.80980500786902
5758,43.92268120893092,39.52695869119622,13.902508187475,59.62002286348399
5759,6.0,30.018119377877404,22.205904375963218,64.1711071565859
5760,10.747776091090957,39.1770329791291,6.453113472472659,48.942493491466394
5761,28.0,34.45552135529338,7.626988531663874,46.60490377051132
5762,41.13696085228146,31.24772992812836,5.995937954682937,41.638658593894036
5763,17.45417237069764,31.998333007388705,22.956623019886393,69.71683212733821
5764,15.280511974741817,34.32267712606196,3.731968621814108,42.0155249103712
5765,37.99197258715099,32.946651010658705,14.897603518151268,56.366146841832474
5766,18.34408553592611,45.462078859520986,20.796666064548376,74.34440810200388
5767,16.27653504669812,33.886844322448106,14.731703948599057,56.16958114486321
5768,27.512510549397483,52.98451257886148,5.445202768957835,62.97449535826511
5769,23.84925370224585,30.13194037416079,16.726910346793094,56.23846260713117
5770,45.60219645973665,31.94882855480712,5.001177545085696,41.99110432976114
5771,23.16287167675827,28.44055986180718,11.141401017373079,45.98684702948301
5772,41.076461039570525,31.22443750023465,6.027549106824402,41.6248948865023
5773,30.0,28.511381442200324,6.7639100021570595,42.23527978595945
5774,16.98523881159256,30.15158612260776,14.206717751017468,53.41902453927915
5775,22.126498508914548,38.455819184873285,9.662090407563358,54.34459416002186
5776,12.0,38.62260017721007,5.537707892921359,48.82752315967721
5777,24.649224647869726,41.48637614790721,35.94105702892378,97.67565221358822
5778,72.37525808329985,52.986425111627156,9.37885276633454,67.8174577727012
5779,21.76463512957053,45.76211908131577,30.289422613465852,94.8288773015264
5780,29.539983775517317,33.18578750714833,44.369022542456634,103.94816219695535
5781,23.55362274377397,54.92628673001715,69.84141263728424,162.47635686777906
5782,8.95304773456763,45.56853382423902,33.6554612810082,99.17897038030887
5783,13.459292062039937,57.34408774916492,35.02878689058446,113.48160547771906
5784,18.936134536633794,39.34494106627705,26.478504216594082,83.07270602154479
5785,12.19024865754885,29.769189904952935,38.61604193312966,90.1625931268357
5786,13.22213946129575,43.81808998053335,25.000595950022905,83.62938915301034
5787,16.265174578152,38.51578156127808,33.21326439783175,92.64596359354634
5788,5.034598751798452,50.453533556091266,33.27667787934052,102.43128303600729
5789,16.884857477612456,51.58862664760387,43.35254575901309,121.41792504663344
5790,14.276061438115642,32.8301201604347,35.61247152911348,88.21757270895716
