,PM10,NO2,NO,NOX
280,28.0,16.25,0.0,14.8
281,34.0,9.06,0.4,10.13
282,11.0,27.1,5.35,35.76
283,28.0,12.91,2.83,18.66
284,24.0,23.73,2.42,28.97
285,45.0,7.42,2.26,12.43
286,11.0,5.26,0.81,9.17
287,8.0,10.54,1.59,13.45
288,9.0,41.97,16.68,63.67
289,21.0,6.62,1.42,10.6
290,18.0,10.08,1.86,14.67
291,19.0,9.71,1.02,13.5
292,26.0,30.38,2.16,34.15
293,7.0,14.07,2.28,18.02
294,13.0,5.49,1.5,9.6
295,19.0,11.77,2.19,17.32
296,26.0,17.7,6.43,28.02
297,3.0,14.79,8.7,29.76
298,34.0,11.28,1.22,17.26
299,48.0,0.91,0.09,1.52
300,16.0,11.3,1.6,13.58
301,17.0,24.35,5.03,31.19
302,29.0,12.63,3.42,19.13
303,7.0,5.63,0.73,6.46
304,18.0,30.41,5.75,39.69
305,18.0,4.81,0.2,5.58
306,16.0,25.11,3.03,30.21
307,15.0,9.61,1.39,12.21
308,8.0,8.36,1.32,10.86
309,37.0,9.69,3.32,15.1
310,13.0,14.5,0.88,17.37
311,22.0,25.06,0.86,27.35
312,44.0,2.07,0.0,2.53
313,17.0,8.67,0.79,9.64
314,29.0,13.01,0.66,10.26
315,8.0,13.47,3.97,20.02
316,28.0,35.43,8.56,49.01
317,17.0,16.27,1.77,18.67
318,15.0,28.15,6.78,39.31
319,11.0,5.55,1.4,8.16
320,12.0,13.88,2.36,17.25
321,29.0,7.42,0.95,10.71
322,15.0,8.51,0.88,10.32
323,21.0,20.31,10.03,37.38
324,18.0,9.91,1.12,13.35
325,18.0,14.04,3.5,20.01
326,25.0,14.75,5.96,29.5
327,18.0,5.02,0.38,6.34
328,31.0,8.26,1.42,10.9
329,20.0,4.29,1.38,6.44
330,47.0,4.59,0.63,7.28
331,48.0,27.5,15.95,52.42
332,10.0,16.67,1.71,22.15
333,23.0,17.74,7.72,30.44
334,25.0,7.95,2.68,13.89
335,14.0,37.43,11.78,55.95
336,13.0,1.49,2.17,6.27
337,17.0,59.94,43.57,130.38
338,11.0,16.46,5.51,26.14
339,13.0,28.98,1.39,33.79
340,12.0,21.76,5.32,31.05
341,13.0,8.64,1.62,11.03
342,25.0,8.13,1.07,10.92
343,10.0,4.33,0.9,6.18
344,12.0,41.12,6.59,51.67
345,11.0,26.07,7.56,37.05
346,28.0,16.28,4.11,23.04
347,38.0,32.92,14.92,56.37
348,42.0,18.22,3.42,23.93
349,23.0,1.21,0.27,2.09
350,30.0,30.56,6.49,42.96
351,17.0,7.2,0.52,3.62
352,19.0,28.76,4.11,35.52
353,11.0,2.76,0.0,3.22
354,46.0,1.93,0.36,2.94
355,13.0,9.92,2.96,13.03
356,24.0,6.71,4.09,12.24
357,17.0,8.42,2.63,12.91
358,8.0,11.78,2.23,15.67
359,14.0,14.29,0.0,13.72
360,13.0,9.84,3.31,15.67
361,3.0,32.63,12.86,50.5
362,24.0,6.0,1.09,8.13
363,50.0,24.54,0.61,25.94
364,41.0,20.77,4.29,27.49
365,28.0,15.3,2.45,19.43
366,18.0,9.52,3.12,14.62
367,16.0,6.64,1.15,4.05
368,31.0,31.85,3.47,38.45
369,9.0,14.13,3.94,20.64
370,0.5,3.12,0.71,5.64
371,21.0,20.74,3.13,24.09
372,59.0,17.18,2.81,24.55
373,14.0,6.93,0.86,8.72
374,21.0,12.13,1.7,14.55
375,21.0,30.74,2.54,35.1
376,12.0,16.28,1.74,19.42
377,8.0,17.09,5.75,19.86
378,29.0,9.8,3.05,16.11
379,33.0,4.38,0.55,5.69
380,15.0,17.95,0.77,19.78
381,8.0,34.86,12.14,53.93
382,41.0,21.1,3.41,27.81
383,6.0,3.28,0.07,3.85
384,9.0,5.74,0.1,7.59
385,9.0,7.1,1.5,12.91
386,33.0,15.86,2.95,20.85
387,32.0,8.56,1.32,14.72
388,37.0,43.97,5.38,55.89
389,20.0,4.23,0.41,5.32
390,3.0,21.13,2.09,24.63
391,7.0,17.37,9.86,32.95
392,67.0,14.66,3.16,22.6
393,8.0,15.15,4.49,23.91
394,22.0,45.81,7.76,63.36
395,20.0,10.01,0.1,11.36
396,29.0,25.94,1.69,24.29
397,5.0,9.71,2.53,14.6
398,15.0,15.07,3.43,22.13
399,2.0,14.8,2.1,17.75
400,31.0,4.6,0.66,6.08
401,48.0,23.42,3.37,29.95
402,3.0,2.71,1.14,5.41
403,39.0,2.27,0.27,3.15
404,10.0,32.97,22.24,66.64
405,24.0,14.37,3.6,20.36
406,40.0,8.75,0.39,9.82
407,18.0,9.75,0.81,11.46
408,18.0,22.86,2.69,28.52
409,24.0,10.2,4.24,19.03
410,13.0,16.94,3.16,22.24
411,1.0,16.73,1.31,19.01
412,11.0,2.43,0.19,3.2
413,10.0,16.37,0.79,16.21
414,12.0,19.86,5.43,27.76
415,8.0,14.75,2.99,19.8
416,3.0,18.23,0.02,18.6
417,10.0,4.29,1.2,7.81
418,31.0,0.5,0.21,1.28
419,52.0,0.46,0.18,3.14
420,28.0,14.11,0.27,14.98
421,13.0,54.02,11.12,66.67
422,22.0,21.67,0.93,23.55
423,47.0,14.71,1.11,19.89
424,5.0,6.74,2.86,13.47
425,24.0,8.97,1.78,12.17
426,20.0,7.78,1.23,10.14
427,23.0,6.99,1.22,9.32
428,13.0,13.38,2.68,20.81
429,29.0,28.62,1.63,33.66
430,27.0,17.7,5.72,26.77
431,30.0,6.45,0.08,7.04
432,7.0,2.34,0.03,2.81
433,6.0,3.65,0.08,4.24
434,15.0,1.76,2.51,7.62
435,12.0,13.38,9.09,29.83
436,15.0,7.05,1.69,11.55
437,53.0,35.91,5.99,46.77
438,42.0,10.71,3.07,15.25
439,16.0,14.2,5.37,26.2
440,15.0,11.45,2.27,15.4
441,22.0,18.35,2.5,22.65
442,22.0,5.68,2.44,10.06
443,37.0,2.56,0.1,3.17
444,12.0,9.28,4.85,12.07
445,13.0,10.58,2.08,15.25
446,41.0,4.46,0.86,6.04
447,8.0,4.46,0.62,5.87
448,9.0,30.91,10.0,47.63
449,21.0,5.54,2.08,9.43
450,20.0,14.03,1.21,16.35
451,9.0,11.38,2.37,14.83
452,53.0,12.38,1.64,17.99
453,41.0,8.97,1.22,11.36
454,14.0,4.45,0.4,5.54
455,14.0,4.72,2.29,11.97
456,13.0,10.25,1.94,13.86
457,27.0,13.49,3.67,19.58
458,26.0,19.02,6.14,28.9
459,7.0,3.96,0.96,6.99
460,76.0,6.14,0.14,6.82
461,20.0,8.14,0.63,5.24
462,20.0,19.31,3.09,24.5
463,13.0,7.28,3.62,14.38
464,15.0,7.12,1.15,10.63
465,14.0,2.81,0.05,3.35
466,6.0,16.66,5.57,25.66
467,27.0,7.0,1.4,4.49
468,21.0,12.09,3.03,17.2
469,23.0,3.66,0.22,4.47
470,28.0,16.48,3.94,23.56
471,24.0,22.46,2.1,20.77
472,79.0,20.39,4.7,28.07
473,9.0,7.06,1.62,9.49
474,32.0,18.85,6.48,29.25
475,4.0,11.66,1.69,8.35
476,41.0,21.01,4.64,29.13
477,6.0,41.41,4.45,44.69
478,10.0,7.43,0.26,8.3
479,9.0,10.56,3.05,16.41
480,12.0,4.62,0.19,5.39
481,21.0,10.95,0.57,13.81
482,32.0,22.59,7.98,35.98
483,30.0,2.25,0.0,2.72
484,36.0,11.54,2.67,16.09
485,17.0,4.7,1.14,2.44
486,14.0,32.23,34.99,82.25
487,16.0,28.73,10.11,44.69
488,9.0,9.81,1.86,15.96
489,18.0,8.97,2.54,15.11
490,52.0,18.2,3.17,23.52
491,28.0,8.41,1.22,14.38
492,28.0,6.98,1.38,12.46
493,18.0,10.24,0.0,9.73
494,18.0,8.58,0.89,11.51
495,11.0,26.79,25.5,67.05
496,30.0,18.82,3.3,25.56
497,7.0,3.06,0.6,4.44
498,27.0,20.33,1.28,25.05
499,13.0,5.67,2.27,10.1
500,24.0,30.58,2.22,34.45
501,23.0,15.05,0.54,16.25
502,11.0,20.03,5.18,29.67
503,19.0,10.04,1.65,14.04
504,17.0,16.81,0.62,19.13
505,27.0,1.06,0.64,5.21
506,11.0,6.06,0.4,7.15
507,62.0,14.66,1.28,18.4
508,23.0,34.24,28.04,73.39
509,28.0,7.75,1.63,10.72
510,12.0,33.47,16.88,60.09
511,6.0,7.5,0.66,8.98
512,20.0,24.99,3.11,31.17
513,6.0,12.4,4.44,19.68
514,12.0,3.56,0.17,4.28
515,28.0,14.7,2.2,18.54
516,6.0,13.73,2.64,18.24
517,1.0,15.27,0.75,18.11
518,21.0,39.65,6.77,50.49
519,11.0,27.72,6.89,39.73
520,14.0,32.59,0.93,34.47
521,0.2,0.65,0.0,1.08
522,13.0,9.2,0.44,10.35
523,21.0,4.56,0.11,0.06
524,16.0,7.66,0.66,9.13
525,76.0,55.85,4.28,62.85
526,7.0,12.24,3.13,18.87
527,7.0,49.2,54.22,132.79
528,20.0,10.86,2.9,15.86
529,18.0,4.48,0.6,6.41
530,5.0,13.44,4.29,23.47
531,5.0,5.73,0.78,8.84
532,17.0,23.79,5.63,33.21
533,3.0,0.85,1.09,4.11
534,16.0,2.31,1.43,6.35
535,4.0,13.87,5.96,23.19
536,22.0,1.33,0.45,2.49
537,37.0,8.4,0.28,9.3
538,11.0,9.57,0.6,10.95
539,33.0,45.91,11.37,63.8
540,1.0,10.5,2.78,15.23
541,37.0,2.32,0.27,3.2
542,5.0,21.7,0.8,23.38
543,39.0,15.63,4.54,23.57
544,13.0,3.35,0.1,3.96
545,7.0,20.45,1.4,18.84
546,7.0,23.67,9.68,38.98
547,13.0,9.77,0.74,11.37
548,23.0,15.55,1.67,18.57
549,19.0,6.21,1.02,8.24
550,12.0,7.62,0.0,6.39
551,21.0,18.64,2.46,23.73
552,13.0,12.69,5.37,15.32
553,11.0,4.97,1.09,8.46
554,26.0,14.34,2.04,20.56
555,6.0,4.49,2.66,9.47
556,23.0,3.81,0.38,4.87
557,46.0,11.78,2.64,18.04
558,23.0,14.5,5.22,23.72
559,7.0,0.2,0.05,0.74
560,43.0,17.36,4.94,26.77
561,41.0,10.55,8.92,25.88
562,34.0,7.8,0.2,8.57
563,10.0,24.68,1.48,28.86
564,10.0,4.78,0.61,5.98
565,22.0,9.5,1.71,15.23
566,28.0,9.68,3.78,16.66
567,20.0,5.99,0.69,3.49
568,57.0,14.05,2.89,18.95
569,13.0,16.65,0.65,18.11
570,17.0,0.17,0.0,0.59
571,44.0,20.64,1.79,25.86
572,23.0,25.07,3.6,31.06
573,19.0,8.77,1.67,13.99
574,18.0,10.69,1.48,14.73
575,30.0,14.04,3.51,19.88
576,12.0,6.47,2.47,12.07
577,69.0,21.69,3.52,29.05
578,5.0,5.44,0.22,6.25
579,14.0,7.93,1.4,5.68
580,9.0,38.01,5.64,46.17
581,11.0,7.05,1.34,11.0
582,11.0,7.96,0.59,9.33
583,18.0,19.03,1.25,22.69
584,42.0,23.85,8.01,36.6
585,1.0,12.8,4.21,19.71
586,31.0,6.74,0.71,8.3
587,67.0,29.06,3.01,35.53
588,6.0,10.93,2.36,15.02
589,41.0,9.05,1.82,12.3
590,11.0,20.05,1.06,22.13
591,5.0,21.01,3.86,27.38
592,9.0,11.11,1.32,13.59
593,24.0,9.54,1.22,15.54
594,12.0,3.39,0.0,3.86
595,15.0,6.04,0.84,7.79
596,11.0,16.51,2.74,21.18
597,59.0,31.83,6.25,43.11
598,20.0,11.71,0.81,15.16
599,14.0,12.44,1.3,16.2
600,33.0,6.04,0.12,6.69
601,18.0,8.28,0.31,9.21
602,35.0,6.89,0.85,8.66
603,15.0,0.1,1.94,3.7
604,22.0,29.88,17.78,58.27
605,17.0,15.25,2.22,19.12
606,16.0,7.67,2.2,12.94
607,19.0,7.27,0.54,8.56
608,11.0,12.85,0.92,16.42
609,27.0,9.14,1.35,15.35
610,44.0,7.76,2.56,13.36
611,23.0,5.15,0.6,2.35
612,11.0,30.68,8.82,44.78
613,14.0,16.53,3.13,22.52
614,13.0,21.85,6.65,32.34
615,15.0,9.87,1.39,12.31
616,30.0,26.21,5.58,35.23
617,9.0,3.64,0.26,0.005
618,10.0,3.99,0.36,5.01
619,5.0,10.15,3.57,16.27
620,4.0,17.31,1.25,19.69
621,12.0,10.12,1.24,12.48
622,15.0,25.24,25.78,65.92
623,4.0,9.49,0.0,9.45
624,11.0,7.36,2.59,12.79
625,15.0,16.03,2.24,19.92
626,18.0,28.21,0.91,30.21
627,17.0,14.82,0.01,13.42
628,44.0,33.5,6.37,38.98
629,15.0,6.07,0.18,6.81
630,12.0,7.82,1.65,11.95
631,40.0,18.89,5.4,28.19
632,32.0,18.16,4.31,25.76
633,20.0,28.44,2.99,34.84
634,19.0,16.31,2.95,21.3
635,21.0,22.05,4.03,29.94
636,5.0,5.82,2.31,12.84
637,27.0,8.74,0.07,9.6
638,47.0,6.37,0.24,7.19
639,6.0,12.53,6.19,23.07
640,16.0,14.92,3.26,20.39
641,21.0,16.86,3.62,23.68
642,5.0,5.78,1.28,9.25
643,17.0,13.08,2.22,16.82
644,18.0,2.93,1.23,7.49
645,19.0,17.75,1.33,19.47
646,17.0,16.22,1.07,18.32
647,10.0,8.52,1.82,11.91
648,19.0,39.26,26.49,83.18
649,21.0,12.02,3.03,15.28
650,16.0,11.15,2.8,15.91
651,58.0,17.44,1.74,21.89
652,29.0,5.41,0.61,7.29
653,36.0,52.19,8.2,67.04
654,11.0,22.11,5.17,30.5
655,46.0,8.51,1.68,11.55
656,44.0,7.07,1.57,15.08
657,6.0,12.94,2.69,17.54
658,15.0,14.02,0.67,15.51
659,9.0,21.89,10.44,39.2
660,18.0,13.4,2.68,17.97
661,17.0,45.48,19.13,72.96
662,21.0,9.71,1.37,12.28
663,20.0,7.1,1.26,9.5
664,9.0,13.69,2.79,21.63
