12/3/21 10.00 PM;20.76;11.56;0.56;12.89;42;0;0;0;0;0;0;0;0;0;0
13/3/21 12.00 AM;26.62;9.55;1.67;12.57;53;0;0;0;0;0;0;0;0;0;0
13/3/21 2.00 AM;21.73;5.84;1.19;8.13;43;0;0;0;0;0;0;0;0;0;0
13/3/21 4.00 AM;56.90;3.45;0.01;3.93;114;30;0;0;0;0;0;0;0;0;0
13/3/21 6.00 AM;28.33;12.86;1.43;15.51;57;30;0;0;0;0;0;0;0;0;0
13/3/21 8.00 AM;14.16;37.43;11.78;55.95;28;30;0;0;0;0;0;0;0;0;0
13/3/21 10.00 AM;7.08;19.28;4.34;26.40;14;0;0;0;0;0;0;0;0;0;0
13/3/21 12.00 PM;3.42;15.26;4.19;22.14;11;0;0;0;0;0;0;0;0;0;0
13/3/21 2.00 PM;39.80;12.57;3.01;17.64;80;0;0;0;0;0;0;0;0;0;0
13/3/21 4.00 PM;19.78;7.10;1.26;9.50;40;0;0;0;0;0;0;0;0;0;0
13/3/21 6.00 PM;12.70;15.44;1.99;18.96;25;0;0;0;0;0;0;0;0;0;0
13/3/21 8.00 PM;19.29;13.06;0.90;14.90;39;0;0;0;0;0;0;0;0;0;0
13/3/21 10.00 PM;21.25;6.79;0.32;7.75;42;0;0;0;0;0;0;0;0;0;0
14/3/21 12.00 AM;22.22;2.13;0.07;2.71;44;0;0;0;0;0;0;0;0;0;0
14/3/21 2.00 AM;21.25;0.25;0.04;0.77;42;0;0;0;0;0;0;0;0;0;0
14/3/21 4.00 AM;22.71;1.33;0.08;1.92;45;0;0;0;0;0;0;0;0;0;0
14/3/21 6.00 AM;14.90;3.27;0.13;3.94;30;0;0;0;0;0;0;0;0;0;0
14/3/21 8.00 AM;46.40;13.66;5.08;21.91;93;0;0;0;0;0;0;0;0;0;0
14/3/21 10.00 AM;23.20;3.78;0.57;5.12;46;0;0;0;0;0;0;0;0;0;0
14/3/21 12.00 PM;11.48;3.49;0.49;4.71;23;0;0;0;0;0;0;0;0;0;0
14/3/21 2.00 PM;5.62;2.28;0.30;3.21;11;0;0;0;0;0;0;0;0;0;0
14/3/21 4.00 PM;6.84;0.20;0.05;0.74;14;0;0;0;0;0;0;0;0;0;0
14/3/21 6.00 PM;46.15;4.12;0.33;5.10;92;0;0;0;0;0;0;0;0;0;0
14/3/21 8.00 PM;22.95;3.77;0.18;4.50;46;0;0;0;0;0;0;0;0;0;0
14/3/21 10.00 PM;11.48;6.73;0.23;7.54;23;0;0;0;0;0;0;0;0;0;0
15/3/21 12.00 AM;5.62;6.02;0.69;7.54;11;0;0;0;0;0;0;0;0;0;0
15/3/21 2.00 AM;2.69;0.35;0.00;0.72;5;0;0;0;0;0;0;0;0;0;0
15/3/21 4.00 AM;1.22;0.91;0.04;1.44;2;0;0;0;0;0;0;0;0;0;0
15/3/21 6.00 AM;37.61;1.31;0.14;1.98;75;0;0;0;0;0;0;0;0;0;0
15/3/21 8.00 AM;18.80;6.21;1.02;8.24;38;0;0;0;0;0;0;0;0;0;0
15/3/21 10.00 AM;12.94;6.82;1.21;9.15;26;0;0;0;0;0;0;0;0;0;0
15/3/21 12.00 PM;6.35;6.38;0.68;7.89;13;0;0;0;0;0;0;0;0;0;0
15/3/21 2.00 PM;3.17;7.91;0.68;9.41;6;0;0;0;0;0;0;0;0;0;0
15/3/21 4.00 PM;1.47;7.34;1.31;9.81;5;0;0;0;0;0;0;0;0;0;0
15/3/21 6.00 PM;37.12;10.75;1.63;13.71;74;30;0;0;0;0;0;0;0;0;0
15/3/21 8.00 PM;18.56;11.40;0.84;13.15;37;0;0;0;0;0;0;0;0;0;0
15/3/21 10.00 PM;9.28;9.70;0.23;10.52;19;0;0;0;0;0;0;0;0;0;0
16/3/21 12.00 AM;4.64;5.44;0.22;6.25;9;0;0;0;0;0;0;0;0;0;0
16/3/21 2.00 AM;2.20;2.43;0.49;3.64;4;0;0;0;0;0;0;0;0;0;0
16/3/21 4.00 AM;37.12;2.56;0.10;3.17;74;0;0;0;0;0;0;0;0;0;0
16/3/21 6.00 AM;18.56;5.58;0.24;6.42;37;0;0;0;0;0;0;0;0;0;0
16/3/21 8.00 AM;15.38;16.45;2.06;20.08;31;0;0;0;0;0;0;0;0;0;0
16/3/21 10.00 AM;7.57;11.78;2.23;15.67;15;0;0;0;0;0;0;0;0;0;0
16/3/21 12.00 PM;3.66;7.77;1.85;11.07;7;0;0;0;0;0;0;0;0;0;0
16/3/21 2.00 PM;9.52;7.97;2.12;11.69;19;0;0;0;0;0;0;0;0;0;0
16/3/21 4.00 PM;4.64;5.22;0.56;6.54;9;0;0;0;0;0;0;0;0;0;0
16/3/21 6.00 PM;46.64;14.56;2.03;18.13;93;0;0;0;0;0;0;0;0;0;0
16/3/21 8.00 PM;23.20;16.09;2.91;21.01;46;0;0;0;0;0;0;0;0;0;0
