Parm;PM10;NO2;NO;NOX;IQA
1/11/21 22.00;14.40781021;7.92675772;1.402473462;5.681396898;29
2/11/21 6.00;38.33943176;5.235520651;0.928356602;0.908530741;77
2/11/21 8.00;19.04759979;35.4006595;29.43247988;74.05464514;38
2/11/21 10.00;9.523809433;11.86520853;2.442062338;9.700072496;19
2/11/21 12.00;16.60560989;14.6172778;4.790233335;15.98650878;33
2/11/21 14.00;8.302808762;17.08630224;5.746079923;19.8618545;17
2/11/21 16.00;10.98900986;15.72754228;3.626720999;15.286143;22
2/11/21 18.00;11.96580982;13.47312952;2.018698474;10.62027589;24
2/11/21 20.00;18.31501007;13.45585439;1.418122118;9.682564878;37
2/11/21 22.00;39.80464172;10.56225815;0.853072651;5.992022402;80
3/11/21 0.00;19.78022003;6.153098773;0.620877547;1.332640989;40
3/11/21 2.00;9.768010139;5.4740502;0.311284856;0.195194167;20
3/11/21 6.00;16.36141014;5.827527108;0.355270306;0.607631673;33
3/11/21 8.00;8.058608055;18.0351088;2.979197635;16.54550532;16
3/11/21 10.00;3.907203913;11.66056278;1.693034467;8.351868344;8
3/11/21 12.00;1.709401965;11.74561098;2.747003683;10.05090589;6
3/11/21 14.00;0.976800978;8.577606565;2.14515797;6.03611875;4
3/11/21 16.00;4.63980484;5.597634213;0.759179823;1.00256102;9
3/11/21 18.00;13.18680954;7.145094069;0.768483704;2.527155237;26
3/11/21 20.00;14.65200996;8.331765081;1.073847821;4.153561656;29
3/11/21 22.00;18.80340958;6.210904088;0.669092835;1.462987744;38
4/11/21 8.00;26.61782074;5.225333174;0.960922007;1.34431376;53
4/11/21 10.00;27.10622025;4.72844843;1.458724426;1.631593722;54
4/11/21 12.00;36.8742218;4.283013908;0.821351527;0.227619768;74
4/11/21 14.00;33.94382095;5.549595163;1.813571886;2.962290142;68
4/11/21 16.00;39.07204056;6.11146496;0.970227077;2.207451811;78
4/11/21 18.00;35.65322113;24.87932631;10.1615866;34.27902323;71
4/11/21 20.00;36.63003159;40.15071871;17.40656067;60.0168382;73
4/11/21 22.00;32.23442078;33.63301649;4.2366025;33.57995846;64
5/11/21 0.00;32.96702957;18.81382443;1.188041803;14.70963703;66
5/11/21 2.00;21.48962021;13.83076886;1.713335547;10.74154279;43
5/11/21 4.00;20.51280975;6.431665725;0.433091817;1.690605689;41
5/11/21 6.00;20.26861954;11.65030146;0.887330258;7.386269864;41
5/11/21 8.00;23.44322014;25.68557748;9.082239769;33.3964453;47
5/11/21 10.00;18.80340958;25.1399503;11.31452428;36.29644997;38
5/11/21 12.00;20.02441978;20.40534098;7.120639289;25.33055841;40
5/11/21 14.00;11.47741032;35.89674787;23.47365292;65.24428473;33
5/11/21 16.00;8.302808762;22.66364219;5.210635417;24.56533613;17
5/11/21 18.00;19.78022003;33.23090382;9.504335614;41.27166573;40
5/11/21 20.00;18.55920982;22.21348226;4.388015797;22.87277812;37
5/11/21 22.00;16.60560989;24.85697476;3.638141193;24.25536296;33
