PM10,NO2,NO,NOX,IQA,clusters
23.0,3.81,0.38,4.87,46,0
51.0,4.13,0.43,5.25,103,3
26.0,4.33,0.35,5.34,52,1
13.0,15.98,1.73,19.11,38,0
22.0,26.29,4.73,34.0,68,1
11.0,37.0,11.09,54.47,109,2
5.0,21.01,3.86,27.38,55,1
3.0,12.85,2.07,16.49,33,0
7.0,8.09,1.18,10.37,21,0
51.0,11.26,1.17,13.52,102,3
25.0,13.35,0.97,15.3,51,1
13.0,9.41,0.68,10.92,25,0
6.0,4.21,0.24,5.04,13,0
32.0,3.05,0.24,3.88,63,1
16.0,4.22,0.74,5.82,31,0
13.0,9.15,0.83,10.89,26,0
7.0,12.5,2.01,16.05,32,0
22.0,6.89,0.83,8.62,45,0
11.0,22.11,5.17,30.5,61,1
6.0,12.9,2.83,17.71,35,0
3.0,11.46,2.52,15.79,32,0
11.0,16.51,2.74,21.18,42,0
15.0,16.34,1.33,18.84,38,0
11.0,5.99,0.66,7.47,22,0
9.0,4.92,0.07,5.5,18,0
12.0,3.44,0.17,4.16,24,0
11.0,2.76,0.0,3.22,21,0
51.0,7.99,0.62,9.4,101,3
25.0,6.93,1.17,9.19,50,1
21.0,5.67,0.78,7.33,42,0
11.0,20.52,5.25,29.04,58,1
5.0,18.12,3.99,24.71,49,1
21.0,13.94,3.37,19.58,42,0
19.0,31.3,8.97,45.5,91,2
10.0,9.29,0.98,11.26,23,0
20.0,7.61,0.42,8.72,40,0
17.0,1.56,0.05,2.1,34,0
13.0,0.69,0.01,1.18,27,0
45.0,2.32,0.16,3.03,91,3
23.0,10.29,0.82,12.01,45,0
11.0,8.14,0.98,10.11,22,0
6.0,5.6,0.89,7.43,15,0
3.0,10.83,1.73,13.94,28,0
15.0,11.45,2.27,15.4,31,0
8.0,11.05,2.44,15.26,31,0
10.0,13.93,3.56,19.85,40,0
13.0,25.52,5.03,33.7,67,1
17.0,16.22,1.07,18.32,37,0
22.0,5.22,0.07,5.79,43,0
16.0,2.23,0.2,3.0,32,0
9.0,3.86,0.17,4.58,18,0
38.0,13.77,0.71,15.32,77,3
19.0,7.73,1.29,10.17,38,0
10.0,6.91,1.05,8.99,19,0
5.0,11.78,1.64,14.76,30,0
28.0,7.75,1.63,10.72,55,1
14.0,8.75,2.63,13.25,27,0
13.0,13.67,3.49,19.49,39,0
11.0,22.84,4.94,30.88,62,1
13.0,16.65,0.65,18.11,36,0
12.0,9.52,0.55,10.82,24,0
17.0,2.87,0.32,3.84,34,0
38.0,1.98,0.33,2.95,76,3
19.0,6.82,0.99,8.8,38,0
19.0,5.6,0.67,7.1,38,0
10.0,17.69,4.66,25.3,51,1
5.0,12.03,3.07,17.19,34,0
21.0,6.39,1.02,8.43,42,0
10.0,7.23,1.37,9.8,21,0
8.0,12.99,1.8,16.21,32,0
11.0,17.92,2.6,22.36,45,1
16.0,20.1,0.89,21.92,44,1
24.0,6.0,1.09,8.13,49,1
48.0,3.75,0.6,5.12,96,3
24.0,4.48,0.44,5.62,48,0
12.0,10.12,1.24,12.48,25,0
6.0,13.73,2.64,18.24,36,0
3.0,6.15,0.99,8.13,16,0
1.0,19.61,4.86,27.52,55,1
30.0,18.16,4.16,25.01,59,1
15.0,15.64,2.05,19.24,38,0
17.0,18.88,3.44,24.61,49,1
14.0,32.59,0.93,34.47,69,1
22.0,12.74,0.54,14.03,45,0
22.0,4.6,0.47,5.79,44,0
13.0,3.22,0.34,4.21,26,0
10.0,3.99,0.36,5.01,20,0
13.0,11.83,1.2,14.13,28,0
48.0,22.96,5.54,31.92,96,3
24.0,14.37,3.6,20.36,48,1
24.0,14.71,3.83,21.03,47,1
12.0,14.86,3.5,20.68,41,0
6.0,12.94,2.69,17.54,35,0
8.0,14.75,2.99,19.8,40,0
8.0,18.02,1.41,20.63,41,0
16.0,7.66,0.66,9.13,32,0
20.0,4.45,0.21,5.23,40,0
51.0,4.35,0.2,5.12,102,3
25.0,3.51,0.45,4.67,51,1
13.0,12.57,1.11,14.74,29,0
6.0,12.51,2.81,17.28,35,0
3.0,5.4,0.87,7.2,14,0
1.0,7.37,1.25,9.74,19,0
36.0,11.39,2.98,16.43,72,1
18.0,9.9,1.56,12.76,36,0
18.0,7.27,1.14,9.48,37,0
11.0,12.0,2.42,16.18,32,0
20.0,5.51,1.14,7.72,40,0
15.0,2.9,0.43,4.02,30,0
13.0,1.96,0.54,3.25,26,0
7.0,3.06,0.6,4.44,14,0
41.0,11.2,1.06,13.29,81,3
20.0,12.81,1.66,15.81,41,0
10.0,10.01,2.4,14.15,28,0
5.0,9.25,1.88,12.6,25,0
2.0,8.29,1.97,11.76,24,0
1.0,8.2,1.87,11.53,23,0
5.0,9.48,2.1,13.16,26,0
19.0,12.72,1.78,15.92,37,0
19.0,5.96,0.51,7.22,37,0
14.0,5.37,0.25,6.21,29,0
46.0,7.16,0.25,8.01,91,3
23.0,4.43,0.36,5.45,45,0
11.0,11.63,0.97,13.59,27,0
6.0,16.46,3.83,22.79,46,1
3.0,11.7,2.83,16.49,33,0
1.0,11.85,3.08,17.03,34,0
31.0,8.26,1.42,10.9,63,1
16.0,11.15,2.8,15.91,32,0
50.0,13.0,2.94,17.96,99,3
25.0,30.71,2.68,35.28,71,1
12.0,19.46,1.0,21.45,43,0
6.0,6.95,0.28,7.84,16,0
3.0,2.75,0.43,3.88,8,0
41.0,5.33,0.03,5.84,82,3
20.0,14.03,1.21,16.35,41,0
10.0,12.92,1.85,16.22,32,0
5.0,9.33,1.17,11.59,23,0
15.0,8.51,0.88,10.32,30,0
8.0,8.09,0.69,9.61,19,0
4.0,6.82,0.65,8.28,17,0
4.0,10.78,0.77,12.43,25,0
15.0,12.52,1.01,14.53,30,0
20.0,10.75,0.55,12.07,40,0
26.0,7.92,0.57,9.25,52,1
22.0,4.97,0.44,6.1,45,0
19.0,5.97,0.45,7.13,37,0
22.0,6.87,0.65,8.33,43,0
21.0,9.71,1.37,12.28,41,0
24.0,9.21,1.28,11.64,48,1
17.0,14.29,3.14,19.57,39,0
16.0,6.2,1.26,8.6,32,0
14.0,8.62,1.06,10.71,27,0
18.0,24.35,1.24,26.71,53,1
27.0,18.43,0.99,20.41,53,1
32.0,9.95,0.7,11.49,64,1
17.0,7.31,0.6,8.69,35,0
23.0,4.55,0.55,5.86,45,0
20.0,6.42,0.88,8.23,41,0
13.0,19.36,2.67,23.92,48,1
15.0,22.2,5.69,31.39,63,1
28.0,19.06,2.62,23.54,55,1
28.0,14.41,1.88,17.76,57,1
21.0,9.12,1.28,11.55,42,0
25.0,8.5,1.26,10.9,50,1
27.0,11.27,1.42,13.91,55,1
24.0,10.09,1.02,12.12,49,1
31.0,6.74,0.71,8.3,63,1
22.0,5.25,0.38,6.3,44,0
24.0,4.32,0.01,4.81,49,0
23.0,6.49,0.31,7.43,45,0
15.0,16.51,1.54,19.33,39,0
12.0,24.28,4.36,31.43,63,1
24.0,15.84,3.23,21.26,47,1
30.0,14.04,3.51,19.88,59,1
21.0,12.09,3.03,17.2,42,0
15.0,12.77,3.28,18.27,37,0
16.0,16.43,3.88,22.84,46,1
20.0,21.97,3.16,27.28,55,1
19.0,25.49,0.86,27.27,55,1
21.0,16.81,0.41,17.9,42,0
16.0,6.38,0.53,7.66,32,0
29.0,14.29,4.27,21.24,59,1
49.0,16.78,3.52,22.48,98,3
24.0,14.99,3.02,19.99,49,1
14.0,17.47,3.77,23.53,47,1
16.0,22.69,4.67,29.93,60,1
46.0,22.81,0.97,24.38,91,3
23.0,22.16,0.98,23.77,48,1
11.0,14.96,0.6,16.26,33,0
9.0,3.64,0.6,5.35,17,0
18.0,5.02,0.38,6.34,35,0
12.0,20.79,2.25,24.39,49,1
8.0,33.36,11.11,50.08,100,2
27.0,14.61,2.54,18.9,53,1
21.0,21.42,5.29,29.67,59,1
17.0,14.87,3.55,20.7,41,0
9.0,14.67,4.02,21.22,42,0
13.0,21.84,3.84,27.85,56,1
9.0,38.01,5.64,46.17,92,2
13.0,43.33,1.74,45.31,91,2
23.0,15.05,0.54,16.25,46,1
29.0,6.06,0.93,8.19,59,1
18.0,8.58,0.89,11.51,36,0
16.0,31.31,5.1,39.88,80,2
24.0,20.08,4.83,28.64,57,1
28.0,12.91,2.83,18.66,56,1
15.0,17.17,3.94,24.45,49,1
13.0,10.58,2.08,15.25,30,0
47.0,9.99,2.52,15.36,94,3
25.0,13.56,2.72,19.11,50,1
17.0,18.61,2.54,23.7,47,1
23.0,14.07,0.76,16.6,46,1
14.0,13.43,0.82,16.08,32,0
16.0,4.42,0.69,7.18,32,0
10.0,2.17,0.6,4.89,19,0
10.0,11.57,1.53,15.36,31,0
7.0,19.94,3.11,25.86,52,1
10.0,15.51,3.77,22.61,45,1
12.0,16.09,5.55,25.88,52,1
12.0,7.82,1.65,11.95,24,0
42.0,8.95,2.38,14.14,84,3
23.0,12.36,2.73,17.98,46,1
17.0,20.76,4.52,28.82,58,1
22.0,25.06,0.86,27.35,55,1
21.0,26.19,1.13,28.86,58,1
23.0,18.92,0.47,20.83,45,1
12.0,7.26,0.6,9.76,24,0
19.0,10.04,1.65,14.04,39,0
19.0,9.46,1.62,13.43,37,0
21.0,7.84,1.77,12.11,42,0
17.0,11.15,1.62,15.07,33,0
22.0,7.58,1.88,12.03,43,0
49.0,4.84,0.92,7.93,98,3
27.0,6.74,0.94,9.78,54,1
47.0,17.9,3.85,24.95,94,3
23.0,12.15,1.01,15.09,47,1
21.0,7.9,0.81,10.7,42,0
11.0,2.85,0.6,5.52,21,0
13.0,2.63,0.69,5.46,27,0
7.0,13.25,1.75,17.27,35,0
3.0,12.08,3.21,18.39,37,0
1.0,8.78,3.22,15.24,30,0
1.0,9.65,3.91,17.14,34,0
0.2,5.81,2.31,10.99,22,0
33.0,8.8,3.55,15.77,66,1
20.0,12.7,4.07,20.3,41,0
28.0,15.86,3.59,22.6,55,1
19.0,7.45,1.45,11.24,38,0
9.0,3.67,0.6,6.31,19,0
5.0,2.23,0.62,4.96,10,0
6.0,2.36,0.56,4.84,13,0
6.0,10.58,1.39,14.01,28,0
12.0,14.98,3.35,21.24,42,0
12.0,11.18,2.71,16.6,33,0
18.0,10.78,3.38,17.25,35,0
13.0,9.59,2.24,14.37,29,0
42.0,8.29,2.35,13.28,83,3
24.0,13.94,2.96,19.64,48,1
17.0,26.91,2.95,32.09,64,1
23.0,26.8,0.61,28.39,57,1
46.0,9.73,0.67,12.09,93,3
23.0,2.77,0.59,5.28,46,0
11.0,2.47,0.6,5.02,23,0
6.0,13.63,2.39,18.48,37,0
6.0,5.31,0.96,8.29,17,0
6.0,12.59,3.14,18.62,37,0
10.0,9.22,2.47,14.37,29,0
7.0,3.96,0.96,6.99,14,0
11.0,6.1,1.39,9.7,21,0
8.0,8.54,1.75,12.61,25,0
13.0,16.52,2.15,20.88,42,0
18.0,28.21,0.91,30.21,60,1
16.0,16.08,0.59,18.06,36,0
12.0,6.56,0.51,8.81,23,0
9.0,5.22,0.6,7.99,18,0
15.0,19.39,2.35,24.16,48,1
15.0,47.98,13.61,68.62,137,2
21.0,19.03,4.13,26.54,53,1
18.0,21.32,4.95,29.99,60,1
13.0,14.64,2.67,20.13,40,0
39.0,17.91,3.46,24.46,79,3
23.0,25.35,4.92,33.78,68,1
18.0,30.57,3.01,35.81,72,1
15.0,43.94,1.14,45.67,91,2
26.0,19.79,1.25,22.85,52,1
22.0,4.96,0.75,7.97,45,0
16.0,4.1,0.6,6.93,33,0
19.0,20.7,2.8,26.09,52,1
12.0,40.19,7.63,52.05,104,2
17.0,19.91,3.16,25.9,52,1
22.0,15.83,2.52,21.04,44,1
11.0,15.6,2.86,21.34,43,0
15.0,20.09,3.6,26.73,53,1
16.0,23.1,4.47,30.94,62,1
10.0,34.93,4.52,42.26,85,2
18.0,26.34,1.21,29.02,58,1
32.0,17.83,0.8,20.3,63,1
36.0,5.14,0.67,8.02,72,1
28.0,2.97,0.68,7.14,55,1
20.0,17.08,1.64,22.05,44,1
26.0,21.23,2.57,27.42,55,1
30.0,20.32,4.0,28.75,61,1
20.0,16.2,3.24,23.67,47,1
15.0,9.93,1.67,15.29,31,0
13.0,17.15,1.9,22.52,45,1
18.0,18.28,1.78,23.4,47,1
26.0,31.97,1.61,36.18,72,1
22.0,12.61,0.81,16.52,45,1
30.0,11.95,1.21,16.51,60,1
29.0,2.54,0.6,6.61,58,1
27.0,1.06,0.64,5.21,54,1
25.0,7.21,0.91,11.52,49,1
16.0,6.4,1.14,11.1,32,0
22.0,15.87,3.5,23.75,47,1
16.0,17.13,2.71,23.74,47,1
17.0,12.23,1.67,17.48,35,0
22.0,9.75,1.37,14.65,44,0
22.0,15.39,2.12,21.17,45,1
19.0,38.51,2.76,44.16,88,2
21.0,25.88,1.1,29.6,59,1
27.0,9.66,0.71,13.55,55,1
29.0,3.13,0.6,7.17,59,1
16.0,8.68,0.68,11.16,33,0
16.0,15.2,2.0,19.38,39,0
21.0,19.25,2.58,24.12,48,1
29.0,18.66,3.66,25.2,57,1
28.0,16.48,3.94,23.56,56,1
17.0,11.83,3.57,18.59,37,0
23.0,14.02,2.44,18.92,47,1
14.0,26.51,7.14,38.01,76,1
21.0,25.4,1.6,28.46,57,1
13.0,13.81,1.37,17.09,34,0
24.0,7.8,1.15,11.04,49,1
15.0,5.86,0.61,8.37,31,0
16.0,2.47,0.83,5.49,32,0
21.0,12.67,0.05,13.99,41,0
17.0,19.55,4.13,26.77,54,1
26.0,12.99,4.28,20.77,51,1
16.0,8.83,3.22,15.2,32,0
48.0,6.36,2.28,11.41,96,3
24.0,9.94,3.82,17.17,48,1
23.0,10.91,2.68,16.35,46,1
17.0,16.49,4.5,24.44,49,1
9.0,4.95,1.23,8.47,18,0
16.0,5.7,1.74,9.94,32,0
13.0,4.16,0.93,7.24,26,0
21.0,10.89,2.75,15.13,42,0
17.0,14.58,3.28,19.32,39,0
13.0,14.82,3.51,19.88,40,0
13.0,17.8,2.99,21.79,44,1
21.0,19.86,2.19,22.45,45,1
19.0,10.22,0.97,11.79,38,0
23.0,13.84,0.8,14.83,47,1
20.0,3.38,0.87,5.41,40,0
15.0,4.14,1.05,6.37,31,0
16.0,20.47,2.68,24.0,48,1
17.0,24.35,5.03,31.19,62,1
32.0,13.47,3.18,20.66,64,1
27.0,12.28,2.64,18.59,54,1
23.0,14.45,2.7,20.95,47,1
24.0,17.7,2.83,24.54,49,1
16.0,26.9,4.16,36.2,72,1
17.0,13.6,0.84,17.21,34,0
19.0,9.88,0.82,13.29,38,0
23.0,2.74,0.93,6.0,46,0
17.0,3.56,0.6,5.98,33,0
10.0,10.03,0.86,13.18,26,0
20.0,23.81,5.54,34.83,70,1
19.0,39.26,26.49,83.18,166,4
22.0,15.14,4.01,23.37,47,1
14.0,12.14,3.61,19.6,39,0
16.0,14.57,3.21,21.54,43,0
20.0,24.74,8.77,40.75,82,2
19.0,30.79,5.03,41.37,83,2
15.0,10.2,0.9,13.43,30,0
17.0,13.15,0.8,16.37,34,0
15.0,3.69,0.74,6.33,30,0
20.0,3.48,0.53,5.79,40,0
48.0,9.39,0.9,12.56,95,3
24.0,15.57,3.35,22.82,47,1
12.0,13.02,2.95,19.52,39,0
6.0,10.93,3.18,17.69,35,0
35.0,7.76,2.12,12.73,70,1
18.0,10.31,2.54,16.04,35,0
12.0,14.92,3.46,22.29,45,1
12.0,15.99,2.11,21.36,43,0
10.0,13.89,0.81,17.16,34,0
16.0,17.19,0.98,20.89,42,0
9.0,5.83,0.83,8.72,18,0
7.0,2.78,0.82,5.88,15,0
15.0,4.92,0.75,7.89,29,0
11.0,4.97,1.09,8.46,22,0
13.0,10.03,2.1,15.0,30,0
43.0,8.47,1.81,13.01,85,3
21.0,6.62,1.42,10.6,42,0
17.0,12.31,2.04,17.17,34,0
39.0,13.51,2.28,18.73,79,3
20.0,26.82,1.84,31.2,62,1
10.0,14.17,1.47,18.14,36,0
5.0,14.76,1.42,18.64,37,0
10.0,7.69,1.64,11.99,24,0
10.0,7.17,1.2,10.8,22,0
6.0,6.85,2.29,12.15,24,0
16.0,12.43,5.34,22.34,45,1
17.0,12.0,4.94,21.3,43,0
40.0,11.69,4.59,20.46,80,3
20.0,10.78,3.45,17.82,40,0
10.0,9.41,2.6,15.16,30,0
10.0,12.49,4.65,21.34,43,0
7.0,13.07,2.41,18.49,37,0
15.0,10.38,1.33,14.16,31,0
13.0,5.49,1.5,9.6,25,0
16.0,2.31,1.43,6.35,32,0
17.0,5.16,2.67,11.17,34,0
49.0,8.1,1.95,12.97,97,3
24.0,23.18,12.96,44.76,90,2
21.0,8.33,3.12,15.0,43,0
11.0,12.12,4.51,20.86,42,0
5.0,9.53,2.95,15.93,32,0
3.0,12.52,3.4,19.57,39,0
7.0,15.64,3.74,23.17,46,1
38.0,24.52,5.79,35.09,77,1
19.0,16.96,1.41,20.9,42,1
10.0,12.66,1.19,16.32,33,0
5.0,5.73,0.78,8.84,18,0
37.0,3.46,1.15,7.17,74,3
19.0,16.33,2.28,21.61,43,1
9.0,26.6,5.65,36.93,74,1
5.0,12.48,3.43,19.57,39,0
2.0,15.77,4.95,25.15,50,1
1.0,12.59,2.7,18.55,37,0
6.0,15.36,3.67,22.79,46,1
11.0,18.27,4.55,27.01,54,1
16.0,32.78,5.68,43.08,86,2
14.0,12.93,2.04,17.89,36,0
22.0,14.28,1.07,17.74,45,1
19.0,9.99,1.14,13.59,37,0
11.0,5.57,1.2,9.23,23,0
13.0,16.56,2.66,22.39,45,1
15.0,15.51,2.95,21.8,44,1
19.0,23.13,4.71,32.06,64,1
14.0,13.12,3.82,20.76,42,0
19.0,12.34,3.16,18.96,38,0
11.0,14.98,4.03,22.93,46,1
12.0,16.44,4.34,24.85,50,1
10.0,23.79,5.42,33.81,68,1
22.0,15.69,1.7,20.06,44,1
21.0,11.11,1.33,14.95,42,0
21.0,3.11,1.13,6.69,41,0
21.0,5.62,1.2,9.3,42,0
16.0,14.38,1.73,18.81,38,0
13.0,36.25,6.92,48.48,97,2
16.0,27.13,6.06,38.11,76,1
21.0,22.05,4.03,29.94,60,1
17.0,14.76,2.7,20.66,41,0
17.0,22.24,5.57,32.49,65,1
16.0,44.26,5.23,53.85,108,2
14.0,29.7,1.92,34.31,69,1
18.0,19.03,1.25,22.69,45,1
30.0,14.37,1.22,18.01,61,1
28.0,8.79,1.03,12.17,55,1
30.0,5.93,1.22,11.09,60,1
54.0,17.93,1.92,24.2,107,3
27.0,20.79,3.58,29.62,59,1
13.0,13.38,2.68,20.81,42,0
36.0,11.03,2.33,17.91,71,1
18.0,10.22,2.93,18.02,36,0
9.0,9.81,1.86,15.96,32,0
9.0,10.48,1.54,16.14,32,0
17.0,21.66,1.48,27.28,55,1
22.0,17.97,1.32,23.33,47,1
26.0,16.33,1.22,21.52,52,1
20.0,10.07,1.2,15.22,40,0
51.0,5.75,0.69,10.1,102,3
25.0,10.07,1.56,15.76,51,1
13.0,10.12,1.06,15.05,30,0
6.0,7.1,1.63,12.89,26,0
47.0,7.17,1.71,13.09,95,3
24.0,12.63,1.51,18.26,47,1
12.0,5.06,0.91,9.75,23,0
17.0,13.1,1.68,18.99,38,0
16.0,13.73,0.7,18.13,36,0
28.0,17.23,0.72,21.67,56,1
29.0,17.54,1.08,22.54,58,1
27.0,8.89,0.95,13.66,55,1
33.0,7.25,0.69,10.14,65,1
39.0,20.4,2.17,25.48,77,1
53.0,33.83,5.21,43.5,107,2
64.0,29.72,4.99,39.08,129,3
55.0,21.51,2.42,26.98,109,3
49.0,17.94,2.11,22.94,99,3
46.0,17.09,2.17,22.18,92,3
49.0,28.17,4.47,36.75,97,3
58.0,17.44,1.74,21.89,117,3
67.0,9.12,0.95,12.39,134,3
70.0,6.85,0.97,10.17,140,3
65.0,4.79,0.86,7.96,130,3
78.0,4.7,0.83,7.82,155,3
64.0,20.82,2.95,27.1,128,3
59.0,31.83,6.25,43.11,118,2
53.0,35.91,5.99,46.77,106,2
56.0,19.21,4.22,27.44,112,3
39.0,11.59,3.34,18.51,78,3
35.0,11.95,2.93,18.25,70,1
36.0,16.46,4.69,25.43,71,1
43.0,25.78,3.46,32.81,85,3
54.0,20.16,1.35,23.98,109,3
62.0,14.66,1.28,18.4,123,3
61.0,12.91,1.22,16.58,122,3
58.0,9.75,1.22,13.81,116,3
69.0,21.69,3.52,29.05,137,3
67.0,29.06,3.01,35.53,134,3
70.0,37.79,6.48,49.43,140,2
65.0,25.43,3.05,32.01,129,3
47.0,20.08,2.12,25.34,94,3
39.0,16.6,3.8,24.49,77,1
44.0,26.56,5.23,36.47,88,3
52.0,18.42,2.0,23.52,104,3
58.0,13.23,1.82,18.16,117,3
77.0,16.68,1.47,21.01,153,3
78.0,4.45,1.21,8.58,156,3
84.0,11.83,1.22,15.84,167,3
84.0,29.02,3.49,36.22,168,3
89.0,32.25,5.1,41.87,177,3
94.0,35.2,4.86,44.39,187,4
79.0,33.23,4.01,41.16,159,3
64.0,20.54,2.7,26.68,127,3
53.0,27.33,3.83,35.08,105,3
60.0,40.51,6.8,52.59,119,2
52.0,66.24,5.67,76.15,152,2
62.0,19.19,1.42,23.4,124,3
59.0,12.13,1.44,16.48,117,3
64.0,5.32,1.09,9.26,128,3
50.0,32.94,5.89,43.05,99,2
51.0,33.31,4.03,40.57,101,2
45.0,25.41,4.69,33.86,90,3
50.0,24.29,2.9,30.03,100,3
54.0,20.87,1.57,24.66,107,3
56.0,42.26,6.39,52.92,112,2
44.0,27.17,2.23,31.82,88,3
36.0,16.24,0.95,19.17,72,1
39.0,8.95,1.09,12.28,78,3
37.0,5.65,0.61,8.32,75,3
33.0,19.71,0.8,22.34,66,1
35.0,18.55,1.88,22.86,69,1
45.0,14.57,2.15,19.39,91,3
53.0,21.19,4.27,29.11,106,3
28.0,10.85,2.7,16.61,56,1
17.0,8.61,1.79,13.02,34,0
21.0,6.22,1.52,10.27,41,0
13.0,13.38,3.37,20.1,40,0
11.0,22.74,1.61,26.54,53,1
13.0,14.5,0.88,17.37,35,0
23.0,16.91,1.21,20.23,45,1
17.0,11.65,0.86,14.56,34,0
11.0,6.32,0.81,9.02,21,0
10.0,9.44,1.22,12.69,25,0
10.0,16.03,5.1,25.06,50,1
17.0,12.96,1.97,17.29,35,0
45.0,9.27,2.33,14.23,90,3
22.0,4.29,1.6,8.26,45,0
11.0,5.67,1.38,9.27,22,0
7.0,10.66,2.16,15.33,31,0
10.0,23.67,1.6,27.16,54,1
11.0,21.89,1.14,24.72,49,1
22.0,25.6,1.22,28.47,57,1
16.0,15.18,1.17,18.22,36,0
14.0,10.6,1.15,13.73,28,0
16.0,20.98,3.55,27.53,55,1
22.0,26.47,4.15,33.81,68,1
20.0,24.44,4.06,31.68,63,1
14.0,14.67,3.96,22.0,44,1
21.0,8.99,2.32,13.94,42,0
18.0,15.11,3.38,21.53,43,1
16.0,12.44,2.26,17.22,34,0
21.0,16.02,2.05,20.4,42,1
31.0,5.28,1.15,8.54,62,1
34.0,5.03,0.65,7.53,68,1
38.0,4.01,0.88,6.88,75,3
36.0,3.92,1.01,7.24,73,1
33.0,18.57,2.12,23.28,65,1
44.0,29.7,4.65,38.05,88,3
42.0,64.08,16.12,89.25,179,4
48.0,23.42,3.37,29.95,97,3
38.0,18.91,2.42,24.06,77,1
35.0,19.98,2.12,24.66,70,1
36.0,27.71,3.82,34.82,73,1
38.0,21.39,2.43,26.51,76,1
53.0,5.63,0.0,7.38,105,3
63.0,4.4,0.33,6.67,126,3
56.0,3.28,0.61,6.0,112,3
49.0,15.74,1.42,19.44,98,3
55.0,22.82,2.75,28.4,109,3
56.0,17.54,2.95,23.54,113,3
50.0,16.01,5.86,26.26,101,3
39.0,20.54,1.52,24.29,78,3
41.0,15.01,2.63,20.58,82,3
29.0,20.15,3.7,27.25,57,1
36.0,31.73,3.3,37.96,76,1
51.0,7.51,0.44,9.89,103,3
58.0,12.03,0.54,14.47,115,3
59.0,2.71,0.61,5.45,118,3
47.0,4.59,0.63,7.28,94,3
36.0,16.81,1.37,20.22,71,1
33.0,10.07,1.8,14.36,67,1
25.0,19.32,4.09,26.81,54,1
20.0,17.75,4.03,25.2,50,1
21.0,12.42,3.55,19.31,42,0
16.0,10.96,2.54,16.36,33,0
13.0,19.29,3.85,26.42,53,1
9.0,23.39,2.11,27.71,55,1
21.0,14.7,1.24,17.97,43,1
16.0,13.19,1.21,16.48,33,0
16.0,6.23,0.81,9.13,32,0
18.0,4.76,0.6,7.39,36,0
15.0,7.79,1.17,11.19,30,0
20.0,17.11,3.18,23.28,47,1
22.0,13.76,3.05,19.84,45,1
17.0,16.79,3.28,23.12,46,1
11.0,9.96,2.08,14.68,29,0
16.0,11.49,2.4,16.66,33,0
12.0,21.76,5.32,31.05,62,1
11.0,19.09,1.2,22.17,44,1
21.0,12.87,0.78,15.51,41,0
15.0,11.61,1.12,14.81,30,0
17.0,9.12,1.15,12.45,33,0
25.0,13.86,1.08,17.16,50,1
16.0,13.24,1.68,17.47,35,0
15.0,10.36,1.41,14.21,29,0
23.0,10.0,2.76,15.94,45,1
19.0,10.61,3.87,18.24,38,0
12.0,7.45,2.05,12.34,25,0
47.0,6.29,2.17,11.38,93,3
33.0,11.35,2.3,16.56,66,1
53.0,25.97,1.83,30.22,106,3
26.0,26.98,1.27,30.35,61,1
13.0,31.9,1.49,35.53,71,1
7.0,8.72,1.21,12.29,25,0
18.0,4.06,1.07,7.5,36,0
15.0,7.12,1.15,10.63,29,0
13.0,11.42,1.45,15.33,31,0
12.0,16.38,3.01,22.6,45,1
17.0,8.02,2.27,13.23,34,0
15.0,7.25,2.66,13.08,29,0
10.0,7.1,1.52,11.18,22,0
19.0,10.32,1.69,14.61,38,0
18.0,9.28,1.25,12.91,37,0
14.0,8.89,1.13,12.35,29,0
17.0,5.67,0.95,8.89,33,0
19.0,3.9,0.94,7.14,39,0
13.0,7.98,0.79,10.94,26,0
17.0,9.13,1.39,12.99,34,0
20.0,9.47,1.95,14.18,40,0
21.0,11.73,4.23,19.92,42,0
18.0,21.44,6.77,33.38,67,1
17.0,7.39,2.73,13.33,35,0
14.0,8.86,2.6,14.59,29,0
13.0,12.47,3.06,18.85,38,0
13.0,14.52,1.52,18.52,37,0
13.0,8.3,1.71,12.67,25,0
18.0,9.91,1.12,13.35,37,0
19.0,6.64,1.09,10.08,39,0
11.0,4.2,0.91,7.4,23,0
45.0,9.96,1.59,14.12,91,3
23.0,13.05,2.32,18.29,45,1
11.0,11.47,3.42,18.41,37,0
6.0,13.01,3.68,20.33,41,0
3.0,19.81,5.23,29.42,59,1
1.0,9.43,2.93,15.65,31,0
4.0,15.85,4.13,23.82,48,1
6.0,27.68,1.4,31.31,63,1
11.0,17.88,1.22,21.36,43,0
13.0,20.78,1.66,24.89,50,1
15.0,10.99,1.26,14.64,30,0
11.0,6.48,0.96,9.7,21,0
8.0,15.7,2.98,21.85,44,0
11.0,18.59,2.64,24.18,48,1
20.0,24.99,3.11,31.17,62,1
17.0,20.18,4.12,27.99,56,1
50.0,9.15,2.82,15.18,99,3
25.0,14.81,3.8,22.24,49,1
16.0,24.25,4.65,32.81,66,1
16.0,34.15,4.25,41.91,84,2
26.0,18.5,2.08,23.23,53,1
29.0,14.23,1.22,17.7,58,1
22.0,10.8,1.27,14.42,45,0
26.0,5.09,1.08,8.52,52,1
26.0,16.89,1.39,20.58,52,1
32.0,19.54,1.58,23.47,63,1
31.0,31.85,3.47,38.45,77,1
20.0,19.37,3.18,25.76,52,1
19.0,10.68,2.24,15.78,38,0
13.0,9.75,2.46,15.21,30,0
16.0,23.8,4.1,31.52,63,1
16.0,44.71,3.87,51.71,103,2
25.0,10.68,1.22,14.22,50,1
31.0,6.47,1.21,10.07,62,1
