PM10,NO2,NO,NOX,IQA,clusters
19.0,4.52,0.21,5.3,38,0
23.0,6.99,1.22,9.32,45,0
18.0,6.33,0.83,8.07,36,0
42.0,6.04,0.35,7.03,84,3
46.0,12.22,1.24,14.59,93,3
54.0,14.88,0.82,16.61,108,3
34.0,9.06,0.4,10.13,68,1
37.0,2.32,0.27,3.2,74,3
51.0,17.26,2.42,21.44,103,3
26.0,22.98,3.92,29.45,59,1
13.0,6.34,1.09,8.48,25,0
6.0,7.42,2.25,11.33,23,0
3.0,4.51,0.55,5.82,12,0
4.0,7.97,0.49,9.18,18,0
11.0,10.29,1.04,12.34,25,0
8.0,19.38,0.93,21.27,43,0
15.0,3.12,0.01,3.6,29,0
48.0,0.91,0.09,1.52,97,3
24.0,2.62,0.09,3.23,48,0
12.0,9.83,0.98,11.81,24,0
22.0,11.99,1.51,14.77,45,1
11.0,8.94,1.53,11.75,24,0
9.0,13.08,2.5,17.38,35,0
4.0,5.6,0.54,6.88,14,0
5.0,6.19,0.6,7.57,15,0
3.0,13.1,1.35,15.63,31,0
8.0,10.73,0.37,11.76,24,0
13.0,1.95,0.04,2.48,26,0
11.0,8.67,1.01,10.67,23,0
9.0,8.83,1.09,10.96,22,0
13.0,7.38,1.35,9.92,26,0
46.0,10.64,2.51,14.95,91,3
23.0,12.17,2.85,17.01,45,1
16.0,9.44,0.67,10.93,32,0
9.0,9.57,0.63,11.0,22,0
15.0,5.02,0.37,6.05,29,0
10.0,1.46,0.09,2.06,19,0
6.0,1.88,0.35,2.89,12,0
37.0,0.32,0.02,0.81,74,3
19.0,3.91,0.06,4.46,37,0
9.0,15.61,0.73,17.19,34,0
37.0,12.7,0.97,14.66,75,1
19.0,14.62,2.47,18.87,38,0
9.0,15.38,4.67,22.99,46,1
13.0,13.86,3.73,20.04,40,0
15.0,38.92,7.17,50.38,101,2
18.0,52.92,8.71,66.73,133,2
31.0,17.28,1.67,20.3,62,1
39.0,11.03,0.6,12.41,77,3
22.0,9.03,2.26,12.97,44,0
17.0,2.07,0.25,2.93,35,0
35.0,7.92,1.62,10.87,70,1
17.0,27.68,12.08,46.66,93,2
18.0,19.58,7.59,31.68,63,1
9.0,10.3,3.53,16.17,32,0
4.0,22.1,13.66,43.5,87,2
2.0,15.9,5.78,25.22,50,1
6.0,24.45,7.35,36.18,72,1
38.0,27.47,7.01,38.68,77,1
19.0,17.71,2.34,21.76,44,1
10.0,6.05,0.41,7.15,19,0
5.0,2.65,0.86,4.43,9,0
32.0,4.94,0.23,5.76,65,1
16.0,5.49,0.08,6.08,32,0
8.0,9.96,0.18,10.69,21,0
17.0,20.16,1.68,23.2,46,1
8.0,25.62,2.4,29.75,60,1
16.0,28.63,7.97,41.31,83,2
8.0,7.99,2.17,11.78,24,0
46.0,15.35,2.36,19.4,92,3
6.0,12.62,1.83,15.89,32,0
3.0,3.05,0.83,4.79,10,0
0.2,0.65,0.0,1.08,2,0
8.0,8.36,1.32,10.86,22,0
44.0,4.44,0.49,5.66,87,3
29.0,8.05,0.54,9.33,59,1
19.0,8.26,1.12,10.44,38,0
16.0,4.04,0.32,4.96,32,0
17.0,0.01,0.1,0.23,34,0
21.0,0.05,0.09,0.36,42,0
20.0,1.12,0.07,1.53,39,0
47.0,14.75,4.38,21.93,94,3
23.0,12.02,3.48,17.83,47,1
12.0,14.53,3.3,20.05,40,0
6.0,16.66,5.57,25.66,51,1
22.0,13.35,3.21,18.73,43,1
16.0,20.24,3.37,25.87,52,1
48.0,27.15,4.9,35.11,97,3
24.0,17.02,1.79,20.23,48,1
25.0,5.41,0.0,5.88,50,1
12.0,3.39,0.0,3.86,25,0
6.0,1.82,0.0,2.29,12,0
3.0,4.61,0.27,5.48,11,0
14.0,21.09,3.17,26.41,53,1
7.0,14.07,2.28,18.02,36,0
18.0,12.08,3.37,17.71,36,0
9.0,26.7,11.04,44.08,88,2
11.0,24.5,7.78,36.89,74,1
48.0,42.5,9.84,58.04,116,2
24.0,75.08,30.41,122.16,244,4
12.0,41.12,6.59,51.67,103,2
16.0,9.38,0.19,10.14,32,0
22.0,4.45,0.0,4.92,44,0
18.0,7.65,0.02,8.15,36,0
19.0,14.42,0.55,15.72,37,0
12.0,44.42,15.4,68.49,137,2
22.0,31.19,6.94,42.29,85,2
24.0,33.66,9.13,48.12,96,2
23.0,33.73,12.8,53.81,108,2
22.0,32.75,8.66,46.49,93,2
55.0,59.69,5.02,67.84,136,2
27.0,79.53,25.92,119.72,239,4
22.0,40.94,4.64,48.51,97,2
53.0,13.87,0.24,14.7,105,3
35.0,6.89,0.85,8.66,70,1
28.0,5.72,0.22,6.52,57,1
19.0,11.38,0.52,12.64,37,0
22.0,25.83,3.41,31.52,63,1
18.0,26.01,5.6,35.06,70,1
26.0,14.27,3.79,20.55,53,1
17.0,16.94,5.99,26.58,53,1
54.0,18.03,4.92,26.04,109,3
30.0,31.49,4.58,38.98,78,1
24.0,67.67,41.98,132.49,265,4
32.0,35.14,7.36,46.88,94,2
38.0,15.13,0.36,16.15,75,1
30.0,3.66,0.2,4.43,59,1
32.0,3.93,0.04,4.45,64,1
16.0,11.85,0.53,13.13,32,0
11.0,28.21,7.15,39.63,79,1
10.0,28.07,8.43,41.45,83,2
28.0,11.0,1.67,14.03,55,1
53.0,10.72,1.79,13.92,105,3
26.0,10.32,0.91,12.17,53,1
16.0,22.44,1.17,24.7,49,1
20.0,21.3,1.33,23.81,48,1
28.0,12.65,0.4,13.72,55,1
22.0,4.38,0.0,4.85,44,0
25.0,1.58,0.06,2.14,51,0
14.0,1.24,0.0,1.71,28,0
18.0,8.65,1.05,10.72,37,0
48.0,24.5,10.02,40.33,96,3
24.0,29.42,11.2,47.05,94,2
12.0,23.05,6.36,33.27,67,1
36.0,24.28,5.83,33.68,72,1
18.0,13.05,1.73,16.16,36,0
17.0,30.38,5.8,39.74,79,1
36.0,51.57,5.15,59.92,120,2
49.0,42.97,7.82,55.41,111,2
67.0,22.2,1.37,24.77,133,3
70.0,5.89,0.54,7.18,140,3
58.0,3.16,0.03,3.68,116,3
43.0,5.49,0.25,6.33,86,3
32.0,14.68,1.84,17.96,64,1
32.0,26.14,8.89,40.23,80,1
39.0,17.76,4.46,25.07,77,1
22.0,12.84,4.06,19.53,44,1
19.0,6.51,1.06,8.61,38,0
