Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
22/5/21 8.00 PM;15.14;12.52;1.01;14.53;30;0;0;0;0;0;0;0;0;0;0
22/5/21 10.00 PM;20.02;10.75;0.55;12.07;40;0;0;0;0;0;0;0;0;0;0
23/5/21 12.00 AM;25.89;7.92;0.57;9.25;52;0;0;0;0;0;0;0;0;0;0
23/5/21 2.00 AM;22.47;4.97;0.44;6.10;45;0;0;0;0;0;0;0;0;0;0
23/5/21 4.00 AM;18.56;5.97;0.45;7.13;37;0;0;0;0;0;0;0;0;0;0
23/5/21 6.00 AM;21.73;6.87;0.65;8.33;43;0;0;0;0;0;0;0;0;0;0
23/5/21 8.00 AM;20.51;9.71;1.37;12.28;41;0;0;0;0;0;0;0;0;0;0
23/5/21 10.00 AM;23.93;9.21;1.28;11.64;48;0;0;0;0;0;0;0;0;0;0
23/5/21 12.00 PM;17.09;14.29;3.14;19.57;34;0;0;0;0;0;0;0;0;0;0
23/5/21 2.00 PM;16.12;6.20;1.26;8.60;32;0;0;0;0;0;0;0;0;0;0
23/5/21 4.00 PM;13.68;8.62;1.06;10.71;27;0;0;0;0;0;0;0;0;0;0
23/5/21 6.00 PM;18.32;24.35;1.24;26.71;37;0;0;0;0;0;0;0;0;0;0
23/5/21 8.00 PM;26.62;18.43;0.99;20.41;53;0;0;0;0;0;0;0;0;0;0
23/5/21 10.00 PM;32.23;9.95;0.70;11.49;64;0;0;0;0;0;0;0;0;0;0
24/5/21 12.00 AM;17.34;7.31;0.60;8.69;35;0;0;0;0;0;0;0;0;0;0
24/5/21 2.00 AM;22.71;4.55;0.55;5.86;45;0;0;0;0;0;0;0;0;0;0
24/5/21 4.00 AM;20.27;6.42;0.88;8.23;41;0;0;0;0;0;0;0;0;0;0
24/5/21 6.00 AM;13.43;19.36;2.67;23.92;27;0;0;0;0;0;0;0;0;0;0
24/5/21 8.00 AM;15.38;22.20;5.69;31.39;31;0;0;0;0;0;0;0;0;0;0
24/5/21 10.00 AM;27.59;19.06;2.62;23.54;55;0;0;0;0;0;0;0;0;0;0
24/5/21 12.00 PM;28.33;14.41;1.88;17.76;57;0;0;0;0;0;0;0;0;0;0
24/5/21 2.00 PM;20.76;9.12;1.28;11.55;42;0;0;0;0;0;0;0;0;0;0
24/5/21 4.00 PM;25.15;8.50;1.26;10.90;50;0;0;0;0;0;0;0;0;0;0
24/5/21 6.00 PM;27.35;11.27;1.42;13.91;55;0;0;0;0;0;0;0;0;0;0
24/5/21 8.00 PM;24.42;10.09;1.02;12.12;49;0;0;0;0;0;0;0;0;0;0
24/5/21 10.00 PM;31.26;6.74;0.71;8.30;63;0;0;0;0;0;0;0;0;0;0
25/5/21 12.00 AM;22.22;5.25;0.38;6.30;44;0;0;0;0;0;0;0;0;0;0
25/5/21 2.00 AM;24.42;4.32;0.01;4.81;49;0;0;0;0;0;0;0;0;0;0
25/5/21 4.00 AM;22.71;6.49;0.31;7.43;45;0;0;0;0;0;0;0;0;0;0
25/5/21 6.00 AM;15.14;16.51;1.54;19.33;30;0;0;0;0;0;0;0;0;0;0
25/5/21 8.00 AM;12.45;24.28;4.36;31.43;25;0;0;0;0;0;0;0;0;0;0
25/5/21 10.00 AM;23.69;15.84;3.23;21.26;47;0;0;0;0;0;0;0;0;0;0
25/5/21 12.00 PM;29.55;14.04;3.51;19.88;59;0;0;0;0;0;0;0;0;0;0
25/5/21 2.00 PM;20.76;12.09;3.03;17.20;42;0;0;0;0;0;0;0;0;0;0
25/5/21 4.00 PM;15.14;12.77;3.28;18.27;30;0;0;0;0;0;0;0;0;0;0
25/5/21 6.00 PM;16.36;16.43;3.88;22.84;33;0;0;0;0;0;0;0;0;0;0
25/5/21 8.00 PM;20.02;21.97;3.16;27.28;40;0;0;0;0;0;0;0;0;0;0
25/5/21 10.00 PM;19.05;25.49;0.86;27.27;38;0;0;0;0;0;0;0;0;0;0
26/5/21 12.00 AM;20.76;16.81;0.41;17.90;42;0;0;0;0;0;0;0;0;0;0
26/5/21 2.00 AM;16.12;6.38;0.53;7.66;32;0;0;0;0;0;0;0;0;0;0
26/5/21 10.00 AM;29.30;14.29;4.27;21.24;59;0;0;0;0;0;0;0;0;0;0
26/5/21 12.00 PM;48.84;16.78;3.52;22.48;98;0;0;0;0;0;0;0;0;0;0
26/5/21 2.00 PM;24.42;14.99;3.02;19.99;49;0;0;0;0;0;0;0;0;0;0
26/5/21 4.00 PM;14.41;17.47;3.77;23.53;29;0;0;0;0;0;0;0;0;0;0
26/5/21 6.00 PM;15.63;22.69;4.67;29.93;31;0;0;0;0;0;0;0;0;0;0
26/5/21 8.00 PM;45.67;22.81;0.97;24.38;91;0;0;0;0;0;0;0;0;0;0
26/5/21 10.00 PM;22.71;22.16;0.98;23.77;45;0;0;0;0;0;0;0;0;0;0
27/5/21 12.00 AM;11.23;14.96;0.60;16.26;22;0;0;0;0;0;0;0;0;0;0
27/5/21 2.00 AM;8.55;3.64;0.60;5.35;17;0;0;0;0;0;0;0;0;0;0
27/5/21 4.00 AM;17.58;5.02;0.38;6.34;35;0;0;0;0;0;0;0;0;0;0
27/5/21 6.00 AM;12.21;20.79;2.25;24.39;24;0;0;0;0;0;0;0;0;0;0
27/5/21 8.00 AM;7.81;33.36;11.11;50.08;25;0;0;0;0;0;0;0;0;0;0
27/5/21 10.00 AM;26.62;14.61;2.54;18.90;53;0;0;0;0;0;0;0;0;0;0
27/5/21 12.00 PM;21.00;21.42;5.29;29.67;42;0;0;0;0;0;0;0;0;0;0
27/5/21 2.00 PM;16.85;14.87;3.55;20.70;34;0;0;0;0;0;0;0;0;0;0
27/5/21 4.00 PM;9.04;14.67;4.02;21.22;18;0;0;0;0;0;0;0;0;0;0
27/5/21 6.00 PM;12.70;21.84;3.84;27.85;25;0;0;0;0;0;0;0;0;0;0
27/5/21 8.00 PM;9.04;38.01;5.64;46.17;23;0;0;0;0;0;0;0;0;0;0
27/5/21 10.00 PM;12.94;43.33;1.74;45.31;26;0;0;0;0;0;0;0;0;0;0
28/5/21 12.00 AM;22.95;15.05;0.54;16.25;46;0;0;0;0;0;0;0;0;0;0
28/5/21 2.00 AM;29.30;6.06;0.93;8.19;59;0;0;0;0;0;0;0;0;0;0
28/5/21 4.00 AM;17.83;8.58;0.89;11.51;36;0;0;0;0;0;0;0;0;0;0
28/5/21 6.00 AM;15.87;31.31;5.10;39.88;32;0;0;0;0;0;0;0;0;0;0
28/5/21 8.00 AM;23.69;20.08;4.83;28.64;47;0;0;0;0;0;0;0;0;0;0
28/5/21 10.00 AM;27.84;12.91;2.83;18.66;56;0;0;0;0;0;0;0;0;0;0
28/5/21 12.00 PM;14.90;17.17;3.94;24.45;30;0;0;0;0;0;0;0;0;0;0
28/5/21 2.00 PM;13.43;10.58;2.08;15.25;27;0;0;0;0;0;0;0;0;0;0
28/5/21 4.00 PM;46.89;9.99;2.52;15.36;94;0;0;0;0;0;0;0;0;0;0
28/5/21 6.00 PM;24.91;13.56;2.72;19.11;50;0;0;0;0;0;0;0;0;0;0
28/5/21 8.00 PM;16.85;18.61;2.54;23.70;34;0;0;0;0;0;0;0;0;0;0
28/5/21 10.00 PM;22.95;14.07;0.76;16.60;46;0;0;0;0;0;0;0;0;0;0
29/5/21 12.00 AM;14.16;13.43;0.82;16.08;28;0;0;0;0;0;0;0;0;0;0
29/5/21 2.00 AM;15.87;4.42;0.69;7.18;32;0;0;0;0;0;0;0;0;0;0
29/5/21 4.00 AM;9.52;2.17;0.60;4.89;19;0;0;0;0;0;0;0;0;0;0
29/5/21 6.00 AM;10.01;11.57;1.53;15.36;20;0;0;0;0;0;0;0;0;0;0
29/5/21 8.00 AM;6.84;19.94;3.11;25.86;14;0;0;0;0;0;0;0;0;0;0
29/5/21 10.00 AM;9.77;15.51;3.77;22.61;20;0;0;0;0;0;0;0;0;0;0
29/5/21 12.00 PM;12.21;16.09;5.55;25.88;24;0;0;0;0;0;0;0;0;0;0
29/5/21 2.00 PM;11.72;7.82;1.65;11.95;23;0;0;0;0;0;0;0;0;0;0
29/5/21 4.00 PM;41.76;8.95;2.38;14.14;84;0;0;0;0;0;0;0;0;0;0
29/5/21 6.00 PM;22.95;12.36;2.73;17.98;46;0;0;0;0;0;0;0;0;0;0
29/5/21 8.00 PM;17.34;20.76;4.52;28.82;35;0;0;0;0;0;0;0;0;0;0
29/5/21 10.00 PM;22.22;25.06;0.86;27.35;44;0;0;0;0;0;0;0;0;0;0
30/5/21 12.00 AM;21.49;26.19;1.13;28.86;43;0;0;0;0;0;0;0;0;0;0
30/5/21 2.00 AM;22.71;18.92;0.47;20.83;45;0;0;0;0;0;0;0;0;0;0
30/5/21 4.00 AM;12.21;7.26;0.60;9.76;24;0;0;0;0;0;0;0;0;0;0
30/5/21 6.00 AM;19.29;10.04;1.65;14.04;39;0;0;0;0;0;0;0;0;0;0
30/5/21 8.00 AM;18.56;9.46;1.62;13.43;37;0;0;0;0;0;0;0;0;0;0
30/5/21 10.00 AM;20.76;7.84;1.77;12.11;42;0;0;0;0;0;0;0;0;0;0
30/5/21 12.00 PM;16.61;11.15;1.62;15.07;33;0;0;0;0;0;0;0;0;0;0
30/5/21 2.00 PM;21.73;7.58;1.88;12.03;43;0;0;0;0;0;0;0;0;0;0
30/5/21 4.00 PM;49.08;4.84;0.92;7.93;98;0;0;0;0;0;0;0;0;0;0
30/5/21 6.00 PM;27.11;6.74;0.94;9.78;54;0;0;0;0;0;0;0;0;0;0
30/5/21 8.00 PM;47.13;17.90;3.85;24.95;94;0;0;0;0;0;0;0;0;0;0
30/5/21 10.00 PM;23.44;12.15;1.01;15.09;47;0;0;0;0;0;0;0;0;0;0
31/5/21 12.00 AM;21.00;7.90;0.81;10.70;42;0;0;0;0;0;0;0;0;0;0
31/5/21 2.00 AM;10.50;2.85;0.60;5.52;21;0;0;0;0;0;0;0;0;0;0
31/5/21 4.00 AM;13.43;2.63;0.69;5.46;27;0;0;0;0;0;0;0;0;0;0
31/5/21 6.00 AM;6.59;13.25;1.75;17.27;13;0;0;0;0;0;0;0;0;0;0
