Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
11/4/21 10.00 AM;18.07;5.02;0.63;6.45;36;0;0;0;0;0;0;0;0;0;0
11/4/21 12.00 PM;9.04;3.96;0.65;5.42;18;0;0;0;0;0;0;0;0;0;0
11/4/21 2.00 PM;7.57;1.57;0.30;2.50;15;0;0;0;0;0;0;0;0;0;0
11/4/21 4.00 PM;9.77;1.43;0.23;2.25;20;0;0;0;0;0;0;0;0;0;0
11/4/21 6.00 PM;33.21;3.55;0.08;4.14;66;0;0;0;0;0;0;0;0;0;0
11/4/21 8.00 PM;22.95;5.15;0.37;6.18;46;0;0;0;0;0;0;0;0;0;0
11/4/21 10.00 PM;22.95;3.66;0.22;4.47;46;0;0;0;0;0;0;0;0;0;0
12/4/21 12.00 AM;20.02;1.32;0.01;1.80;40;0;0;0;0;0;0;0;0;0;0
12/4/21 2.00 AM;17.09;0.17;0.00;0.59;34;0;0;0;0;0;0;0;0;0;0
12/4/21 4.00 AM;24.66;1.12;0.09;1.73;49;0;0;0;0;0;0;0;0;0;0
12/4/21 6.00 AM;26.62;10.51;1.49;13.26;53;0;0;0;0;0;0;0;0;0;0
12/4/21 8.00 AM;16.61;10.91;1.86;14.22;33;0;0;0;0;0;0;0;0;0;0
12/4/21 10.00 AM;48.84;5.66;0.76;7.30;98;0;0;0;0;0;0;0;0;0;0
12/4/21 12.00 PM;40.54;4.80;0.55;6.11;81;0;0;0;0;0;0;0;0;0;0
12/4/21 2.00 PM;32.72;4.38;0.55;5.69;65;0;0;0;0;0;0;0;0;0;0
12/4/21 10.00 PM;43.71;2.07;0.00;2.53;87;0;0;0;0;0;0;0;0;0;0
13/4/21 12.00 AM;36.14;0.66;0.00;1.13;72;0;0;0;0;0;0;0;0;0;0
13/4/21 2.00 AM;43.22;0.13;0.01;0.58;86;0;0;0;0;0;0;0;0;0;0
13/4/21 4.00 AM;57.88;2.05;0.13;2.72;116;0;0;0;0;0;0;0;0;0;0
13/4/21 6.00 AM;28.82;18.00;2.14;21.74;58;0;0;0;0;0;0;0;0;0;0
13/4/21 8.00 AM;14.41;12.27;2.52;16.60;29;0;0;0;0;0;0;0;0;0;0
13/4/21 10.00 AM;7.08;5.21;0.87;7.01;14;0;0;0;0;0;0;0;0;0;0
13/4/21 12.00 PM;3.42;13.38;4.16;20.22;10;0;0;0;0;0;0;0;0;0;0
13/4/21 2.00 PM;7.81;8.08;1.62;11.03;16;0;0;0;0;0;0;0;0;0;0
13/4/21 4.00 PM;11.97;10.66;2.27;14.61;24;0;0;0;0;0;0;0;0;0;0
13/4/21 6.00 PM;15.63;18.27;3.81;24.57;31;0;0;0;0;0;0;0;0;0;0
13/4/21 8.00 PM;16.12;13.21;0.35;14.21;32;0;0;0;0;0;0;0;0;0;0
13/4/21 10.00 PM;44.20;8.83;0.27;9.70;88;0;0;0;0;0;0;0;0;0;0
14/4/21 12.00 AM;31.50;1.47;0.35;2.47;63;0;0;0;0;0;0;0;0;0;0
14/4/21 2.00 AM;17.09;0.27;0.15;0.96;34;0;0;0;0;0;0;0;0;0;0
14/4/21 4.00 AM;10.50;1.01;0.03;1.53;21;0;0;0;0;0;0;0;0;0;0
14/4/21 6.00 AM;39.07;8.48;0.59;9.85;78;0;0;0;0;0;0;0;0;0;0
14/4/21 8.00 AM;19.54;9.54;1.85;12.83;39;0;0;0;0;0;0;0;0;0;0
14/4/21 10.00 AM;9.77;5.85;1.46;8.55;20;0;0;0;0;0;0;0;0;0;0
14/4/21 12.00 PM;4.88;7.17;2.37;11.26;10;0;0;0;0;0;0;0;0;0;0
14/4/21 2.00 PM;44.69;5.28;1.18;7.55;89;0;0;0;0;0;0;0;0;0;0
15/4/21 6.00 AM;35.90;13.94;1.50;16.71;72;0;0;0;0;0;0;0;0;0;0
15/4/21 8.00 AM;17.83;19.46;3.34;25.05;36;0;0;0;0;0;0;0;0;0;0
15/4/21 10.00 AM;17.83;8.76;1.85;12.06;36;0;0;0;0;0;0;0;0;0;0
15/4/21 12.00 PM;8.79;8.64;2.42;12.81;18;0;0;0;0;0;0;0;0;0;0
15/4/21 2.00 PM;7.81;8.10;2.51;12.43;16;0;0;0;0;0;0;0;0;0;0
15/4/21 4.00 PM;5.62;8.79;2.63;13.29;11;0;0;0;0;0;0;0;0;0;0
15/4/21 6.00 PM;3.91;15.92;5.69;25.11;13;0;0;0;0;0;0;0;0;0;0
15/4/21 8.00 PM;7.08;32.69;5.48;41.56;21;0;0;0;0;0;0;0;0;0;0
15/4/21 10.00 PM;8.30;22.66;0.48;23.85;17;0;0;0;0;0;0;0;0;0;0
16/4/21 12.00 AM;15.87;7.35;0.12;8.01;32;0;0;0;0;0;0;0;0;0;0
16/4/21 2.00 AM;23.93;5.08;0.00;5.55;48;0;0;0;0;0;0;0;0;0;0
16/4/21 4.00 AM;13.19;6.90;0.49;8.11;26;0;0;0;0;0;0;0;0;0;0
16/4/21 6.00 AM;16.12;19.45;2.33;23.48;32;0;0;0;0;0;0;0;0;0;0
16/4/21 8.00 AM;14.16;27.71;6.06;37.46;28;0;0;0;0;0;0;0;0;0;0
16/4/21 10.00 AM;16.36;17.00;4.59;24.49;33;0;0;0;0;0;0;0;0;0;0
16/4/21 12.00 PM;10.74;16.50;1.80;19.71;21;0;0;0;0;0;0;0;0;0;0
16/4/21 2.00 PM;17.34;14.43;2.23;18.32;35;0;0;0;0;0;0;0;0;0;0
16/4/21 4.00 PM;15.87;14.15;3.25;19.60;32;0;0;0;0;0;0;0;0;0;0
16/4/21 6.00 PM;10.50;20.05;1.06;22.13;21;0;0;0;0;0;0;0;0;0;0
16/4/21 8.00 PM;16.12;19.97;0.86;21.76;32;0;0;0;0;0;0;0;0;0;0
16/4/21 10.00 PM;19.05;7.59;0.23;8.40;38;0;0;0;0;0;0;0;0;0;0
17/4/21 12.00 AM;17.34;3.52;0.14;4.21;35;0;0;0;0;0;0;0;0;0;0
17/4/21 2.00 AM;11.97;7.08;0.07;7.66;24;0;0;0;0;0;0;0;0;0;0
17/4/21 4.00 AM;9.77;5.26;0.10;5.88;20;0;0;0;0;0;0;0;0;0;0
17/4/21 6.00 AM;6.35;12.18;0.57;13.52;13;0;0;0;0;0;0;0;0;0;0
17/4/21 8.00 AM;4.15;17.31;1.25;19.69;10;0;0;0;0;0;0;0;0;0;0
17/4/21 10.00 AM;10.50;14.29;1.83;17.55;21;0;0;0;0;0;0;0;0;0;0
17/4/21 12.00 PM;19.05;9.03;2.05;12.63;38;0;0;0;0;0;0;0;0;0;0
17/4/21 2.00 PM;19.29;5.58;1.46;8.27;39;0;0;0;0;0;0;0;0;0;0
17/4/21 4.00 PM;21.73;6.32;1.44;8.99;43;0;0;0;0;0;0;0;0;0;0
17/4/21 6.00 PM;16.85;13.19;1.56;16.04;34;0;0;0;0;0;0;0;0;0;0
17/4/21 8.00 PM;14.65;8.52;0.31;9.46;29;0;0;0;0;0;0;0;0;0;0
17/4/21 10.00 PM;18.56;7.27;0.54;8.56;37;0;0;0;0;0;0;0;0;0;0
18/4/21 12.00 AM;18.07;3.72;0.01;4.20;36;0;0;0;0;0;0;0;0;0;0
18/4/21 2.00 AM;11.23;2.43;0.19;3.20;22;0;0;0;0;0;0;0;0;0;0
18/4/21 4.00 AM;9.52;3.22;0.10;3.84;19;0;0;0;0;0;0;0;0;0;0
18/4/21 6.00 AM;6.11;5.66;0.39;6.73;12;0;0;0;0;0;0;0;0;0;0
18/4/21 8.00 AM;13.19;6.05;0.47;7.23;26;0;0;0;0;0;0;0;0;0;0
18/4/21 10.00 AM;7.33;7.55;0.60;8.93;15;0;0;0;0;0;0;0;0;0;0
18/4/21 12.00 PM;13.43;9.83;1.89;13.20;27;0;0;0;0;0;0;0;0;0;0
18/4/21 2.00 PM;20.76;5.61;0.73;7.20;42;0;0;0;0;0;0;0;0;0;0
18/4/21 4.00 PM;14.90;3.98;0.69;5.51;30;0;0;0;0;0;0;0;0;0;0
18/4/21 6.00 PM;9.04;10.99;1.29;13.43;18;0;0;0;0;0;0;0;0;0;0
18/4/21 8.00 PM;16.85;15.89;1.88;19.23;34;0;0;0;0;0;0;0;0;0;0
18/4/21 10.00 PM;17.83;10.73;0.34;11.72;36;0;0;0;0;0;0;0;0;0;0
19/4/21 12.00 AM;21.25;6.97;0.21;7.76;42;0;0;0;0;0;0;0;0;0;0
19/4/21 2.00 AM;25.64;4.91;0.07;5.48;51;0;0;0;0;0;0;0;0;0;0
19/4/21 4.00 AM;21.98;2.75;0.15;3.45;44;0;0;0;0;0;0;0;0;0;0
19/4/21 8.00 AM;24.18;30.58;2.22;34.45;48;0;0;0;0;0;0;0;0;0;0
19/4/21 10.00 AM;11.97;12.01;2.56;16.40;24;0;0;0;0;0;0;0;0;0;0
19/4/21 12.00 PM;21.25;9.08;1.45;11.77;42;0;0;0;0;0;0;0;0;0;0
19/4/21 2.00 PM;12.21;7.44;0.78;9.11;24;0;0;0;0;0;0;0;0;0;0
19/4/21 4.00 PM;7.57;8.50;1.99;12.02;15;0;0;0;0;0;0;0;0;0;0
19/4/21 6.00 PM;40.54;11.32;0.82;13.03;81;0;0;0;0;0;0;0;0;0;0
19/4/21 8.00 PM;20.27;14.42;1.15;16.65;41;0;0;0;0;0;0;0;0;0;0
19/4/21 10.00 PM;10.01;6.45;0.20;7.23;20;0;0;0;0;0;0;0;0;0;0
20/4/21 12.00 AM;4.88;3.41;0.03;3.92;10;0;0;0;0;0;0;0;0;0;0
20/4/21 4.00 AM;19.29;2.20;0.08;2.78;39;0;0;0;0;0;0;0;0;0;0
20/4/21 6.00 AM;12.45;16.28;1.74;19.42;25;0;0;0;0;0;0;0;0;0;0
20/4/21 8.00 AM;6.11;20.29;3.93;26.77;13;0;0;0;0;0;0;0;0;0;0
20/4/21 10.00 AM;21.73;16.12;3.15;21.42;43;0;0;0;0;0;0;0;0;0;0
20/4/21 12.00 PM;10.74;12.09;2.76;16.79;21;0;0;0;0;0;0;0;0;0;0
20/4/21 2.00 PM;10.26;8.36;1.62;11.31;21;0;0;0;0;0;0;0;0;0;0
20/4/21 4.00 PM;10.26;10.15;1.91;13.54;21;0;0;0;0;0;0;0;0;0;0
20/4/21 6.00 PM;9.28;10.95;0.85;12.71;19;0;0;0;0;0;0;0;0;0;0
20/4/21 8.00 PM;11.72;16.76;1.11;18.92;23;0;0;0;0;0;0;0;0;0;0
20/4/21 10.00 PM;9.04;6.04;0.07;6.61;18;0;0;0;0;0;0;0;0;0;0
21/4/21 12.00 AM;19.54;4.99;0.36;6.01;39;0;0;0;0;0;0;0;0;0;0
21/4/21 2.00 AM;12.21;3.00;0.02;3.51;24;0;0;0;0;0;0;0;0;0;0
21/4/21 4.00 AM;42.00;3.61;0.26;4.48;84;0;0;0;0;0;0;0;0;0;0
21/4/21 6.00 AM;21.00;18.43;2.76;23.12;42;0;0;0;0;0;0;0;0;0;0
21/4/21 8.00 AM;10.50;28.53;8.98;42.76;21;0;0;0;0;0;0;0;0;0;0
21/4/21 10.00 AM;5.13;22.30;5.26;30.83;15;0;0;0;0;0;0;0;0;0;0
21/4/21 12.00 PM;2.44;11.41;2.61;15.88;8;0;0;0;0;0;0;0;0;0;0
21/4/21 2.00 PM;8.55;6.74;1.24;9.10;17;0;0;0;0;0;0;0;0;0;0
21/4/21 4.00 PM;40.54;7.73;1.74;10.86;81;0;0;0;0;0;0;0;0;0;0
21/4/21 6.00 PM;20.27;16.48;4.29;23.52;41;0;0;0;0;0;0;0;0;0;0
21/4/21 8.00 PM;10.01;19.28;2.31;23.28;20;0;0;0;0;0;0;0;0;0;0
21/4/21 10.00 PM;4.88;4.87;0.14;5.55;10;0;0;0;0;0;0;0;0;0;0
22/4/21 12.00 AM;2.44;4.16;0.58;5.51;5;0;0;0;0;0;0;0;0;0;0
22/4/21 2.00 AM;8.30;4.46;0.62;5.87;17;0;0;0;0;0;0;0;0;0;0
22/4/21 4.00 AM;9.77;5.78;0.83;7.51;20;0;0;0;0;0;0;0;0;0;0
22/4/21 6.00 AM;8.55;19.86;4.40;27.06;17;0;0;0;0;0;0;0;0;0;0
22/4/21 8.00 AM;14.16;35.18;39.66;96.45;48;0;0;0;0;0;0;0;0;0;0
22/4/21 10.00 AM;32.97;16.98;3.99;23.56;66;0;0;0;0;0;0;0;0;0;0
22/4/21 12.00 PM;19.05;9.57;1.48;12.30;38;0;0;0;0;0;0;0;0;0;0
22/4/21 2.00 PM;14.16;6.93;0.86;8.72;28;0;0;0;0;0;0;0;0;0;0
22/4/21 4.00 PM;22.71;7.85;0.48;9.05;45;0;0;0;0;0;0;0;0;0;0
22/4/21 6.00 PM;13.19;9.77;0.74;11.37;26;0;0;0;0;0;0;0;0;0;0
22/4/21 8.00 PM;21.25;8.27;0.68;9.77;42;0;0;0;0;0;0;0;0;0;0
22/4/21 10.00 PM;16.61;3.79;0.29;4.70;33;0;0;0;0;0;0;0;0;0;0
23/4/21 12.00 AM;16.85;4.86;0.38;5.91;34;0;0;0;0;0;0;0;0;0;0
23/4/21 2.00 AM;22.71;4.54;1.40;7.15;45;0;0;0;0;0;0;0;0;0;0
23/4/21 4.00 AM;27.59;4.49;1.66;7.50;55;0;0;0;0;0;0;0;0;0;0
23/4/21 6.00 AM;53.48;18.07;2.28;22.02;107;0;0;0;0;0;0;0;0;0;0
23/4/21 8.00 AM;26.62;23.26;3.13;28.51;53;0;0;0;0;0;0;0;0;0;0
23/4/21 10.00 AM;13.19;11.85;2.60;16.31;26;0;0;0;0;0;0;0;0;0;0
23/4/21 12.00 PM;25.64;7.49;1.71;10.58;51;0;0;0;0;0;0;0;0;0;0
23/4/21 2.00 PM;13.92;8.08;2.34;12.13;28;0;0;0;0;0;0;0;0;0;0
23/4/21 4.00 PM;10.74;8.77;1.09;10.91;21;0;0;0;0;0;0;0;0;0;0
23/4/21 6.00 PM;11.72;14.96;3.72;21.13;23;0;0;0;0;0;0;0;0;0;0
23/4/21 8.00 PM;27.11;15.97;1.44;18.64;54;0;0;0;0;0;0;0;0;0;0
23/4/21 10.00 PM;26.86;11.25;1.55;14.09;54;0;0;0;0;0;0;0;0;0;0
24/4/21 12.00 AM;26.86;9.64;1.98;13.14;54;0;0;0;0;0;0;0;0;0;0
24/4/21 2.00 AM;22.47;1.33;0.45;2.49;45;0;0;0;0;0;0;0;0;0;0
27/4/21 6.00 PM;14.65;7.82;1.47;10.53;29;0;0;0;0;0;0;0;0;0;0
27/4/21 8.00 PM;25.15;8.97;0.84;10.72;50;0;0;0;0;0;0;0;0;0;0
27/4/21 10.00 PM;45.67;2.95;0.60;4.33;91;0;0;0;0;0;0;0;0;0;0
28/4/21 12.00 AM;47.37;2.00;0.93;3.89;95;0;0;0;0;0;0;0;0;0;0
28/4/21 2.00 AM;42.74;1.71;0.98;3.69;85;0;0;0;0;0;0;0;0;0;0
28/4/21 4.00 AM;47.37;3.77;0.77;5.41;95;0;0;0;0;0;0;0;0;0;0
28/4/21 6.00 AM;36.63;20.07;11.92;38.82;73;0;0;0;0;0;0;0;0;0;0
28/4/21 8.00 AM;28.33;16.49;6.81;27.39;57;0;0;0;0;0;0;0;0;0;0
28/4/21 12.00 PM;7.08;13.89;4.61;21.41;14;0;0;0;0;0;0;0;0;0;0
28/4/21 2.00 PM;3.42;8.27;2.88;13.15;7;0;0;0;0;0;0;0;0;0;0
28/4/21 4.00 PM;1.71;14.06;4.08;20.78;10;0;0;0;0;0;0;0;0;0;0
28/4/21 6.00 PM;19.29;17.70;4.74;25.43;39;0;0;0;0;0;0;0;0;0;0
28/4/21 8.00 PM;21.49;18.84;5.60;27.89;43;0;0;0;0;0;0;0;0;0;0
28/4/21 10.00 PM;28.33;16.28;4.11;23.04;57;0;0;0;0;0;0;0;0;0;0
29/4/21 12.00 AM;29.30;15.81;1.01;17.82;59;0;0;0;0;0;0;0;0;0;0
29/4/21 2.00 AM;33.94;11.78;1.29;14.21;68;0;0;0;0;0;0;0;0;0;0
29/4/21 4.00 AM;31.26;8.02;0.66;9.49;63;0;0;0;0;0;0;0;0;0;0
29/4/21 6.00 AM;31.99;11.97;3.46;17.74;64;0;0;0;0;0;0;0;0;0;0
29/4/21 8.00 AM;55.68;26.69;13.22;47.43;111;0;0;0;0;0;0;0;0;0;0
29/4/21 10.00 AM;51.28;31.13;8.71;44.94;103;0;0;0;0;0;0;0;0;0;0
29/4/21 12.00 PM;25.64;19.02;6.14;28.90;51;0;0;0;0;0;0;0;0;0;0
29/4/21 2.00 PM;12.70;14.62;4.56;22.07;25;0;0;0;0;0;0;0;0;0;0
29/4/21 4.00 PM;18.80;13.93;4.33;21.03;38;0;0;0;0;0;0;0;0;0;0
29/4/21 6.00 PM;14.90;9.61;1.39;12.21;30;0;0;0;0;0;0;0;0;0;0
29/4/21 8.00 PM;15.63;14.65;0.89;16.48;31;0;0;0;0;0;0;0;0;0;0
29/4/21 10.00 PM;19.54;3.80;0.69;5.33;39;0;0;0;0;0;0;0;0;0;0
30/4/21 12.00 AM;23.44;3.16;0.48;4.36;47;0;0;0;0;0;0;0;0;0;0
30/4/21 2.00 AM;31.99;5.82;0.34;6.80;64;0;0;0;0;0;0;0;0;0;0
30/4/21 4.00 AM;27.11;7.00;1.77;10.18;54;0;0;0;0;0;0;0;0;0;0
30/4/21 6.00 AM;14.16;16.62;3.29;22.13;28;0;0;0;0;0;0;0;0;0;0
30/4/21 8.00 AM;16.85;27.38;8.65;41.10;34;0;0;0;0;0;0;0;0;0;0
30/4/21 10.00 AM;27.84;17.27;4.55;24.72;56;0;0;0;0;0;0;0;0;0;0
30/4/21 12.00 PM;18.80;10.95;2.33;14.99;38;0;0;0;0;0;0;0;0;0;0
30/4/21 2.00 PM;19.05;6.81;0.86;8.60;38;0;0;0;0;0;0;0;0;0;0
30/4/21 4.00 PM;13.43;7.85;1.86;11.17;27;0;0;0;0;0;0;0;0;0;0
30/4/21 6.00 PM;7.57;12.92;1.69;15.97;15;0;0;0;0;0;0;0;0;0;0
30/4/21 8.00 PM;16.61;14.57;2.07;18.20;33;0;0;0;0;0;0;0;0;0;0
30/4/21 10.00 PM;16.85;8.72;1.26;11.12;34;0;0;0;0;0;0;0;0;0;0
1/5/21 12.00 AM;10.50;5.20;0.60;6.58;21;0;0;0;0;0;0;0;0;0;0
1/5/21 2.00 AM;10.26;1.86;0.49;3.08;21;0;0;0;0;0;0;0;0;0;0
1/5/21 4.00 AM;38.58;2.27;0.27;3.15;77;0;0;0;0;0;0;0;0;0;0
1/5/21 6.00 AM;19.29;6.27;1.35;8.80;39;0;0;0;0;0;0;0;0;0;0
1/5/21 8.00 AM;9.52;6.22;1.20;8.53;19;0;0;0;0;0;0;0;0;0;0
1/5/21 10.00 AM;4.64;23.58;12.43;43.09;22;0;0;0;0;0;0;0;0;0;0
1/5/21 12.00 PM;22.71;13.75;3.70;19.88;45;0;0;0;0;0;0;0;0;0;0
1/5/21 2.00 PM;11.23;5.54;0.81;7.25;22;0;0;0;0;0;0;0;0;0;0
1/5/21 4.00 PM;20.51;3.69;0.78;5.35;41;0;0;0;0;0;0;0;0;0;0
1/5/21 6.00 PM;12.70;11.47;1.99;14.98;25;0;0;0;0;0;0;0;0;0;0
1/5/21 8.00 PM;10.26;4.33;0.90;6.18;21;0;0;0;0;0;0;0;0;0;0
1/5/21 10.00 PM;13.92;5.61;0.68;7.11;28;0;0;0;0;0;0;0;0;0;0
2/5/21 12.00 AM;12.70;6.88;2.48;11.15;25;0;0;0;0;0;0;0;0;0;0
2/5/21 2.00 AM;10.50;8.98;2.81;13.75;21;0;0;0;0;0;0;0;0;0;0
2/5/21 4.00 AM;21.00;2.08;0.26;2.95;42;0;0;0;0;0;0;0;0;0;0
2/5/21 6.00 AM;17.83;8.38;1.95;11.83;36;0;0;0;0;0;0;0;0;0;0
2/5/21 8.00 AM;24.42;6.33;1.66;9.35;49;0;0;0;0;0;0;0;0;0;0
2/5/21 10.00 AM;31.99;3.67;0.97;5.62;64;0;0;0;0;0;0;0;0;0;0
2/5/21 12.00 PM;16.61;3.74;0.62;5.16;33;0;0;0;0;0;0;0;0;0;0
2/5/21 2.00 PM;46.40;1.93;0.36;2.94;93;0;0;0;0;0;0;0;0;0;0
2/5/21 4.00 PM;23.20;1.21;0.27;2.09;46;0;0;0;0;0;0;0;0;0;0
2/5/21 6.00 PM;52.01;2.92;0.57;4.27;104;0;0;0;0;0;0;0;0;0;0
2/5/21 8.00 PM;25.89;6.77;0.81;8.47;52;0;0;0;0;0;0;0;0;0;0
2/5/21 10.00 PM;12.94;3.76;0.39;4.83;26;0;0;0;0;0;0;0;0;0;0
3/5/21 12.00 AM;6.35;1.99;0.31;2.94;13;0;0;0;0;0;0;0;0;0;0
3/5/21 2.00 AM;26.13;2.27;0.32;3.22;52;0;0;0;0;0;0;0;0;0;0
3/5/21 4.00 AM;12.94;2.68;0.24;3.51;26;0;0;0;0;0;0;0;0;0;0
3/5/21 6.00 AM;15.14;11.41;1.14;13.61;30;0;0;0;0;0;0;0;0;0;0
3/5/21 8.00 AM;7.57;22.84;4.45;30.13;15;0;0;0;0;0;0;0;0;0;0
3/5/21 10.00 AM;3.66;13.14;2.81;17.92;9;0;0;0;0;0;0;0;0;0;0
3/5/21 12.00 PM;1.71;12.31;3.30;17.82;9;0;0;0;0;0;0;0;0;0;0
3/5/21 2.00 PM;0.73;13.23;3.79;19.50;10;0;0;0;0;0;0;0;0;0;0
3/5/21 4.00 PM;34.19;14.13;2.44;18.34;68;0;0;0;0;0;0;0;0;0;0
3/5/21 6.00 PM;22.22;21.67;0.93;23.55;44;0;0;0;0;0;0;0;0;0;0
3/5/21 8.00 PM;20.76;30.74;2.54;35.10;42;0;0;0;0;0;0;0;0;0;0
3/5/21 10.00 PM;19.78;27.83;1.11;29.99;40;0;0;0;0;0;0;0;0;0;0
4/5/21 12.00 AM;47.13;8.83;0.55;10.14;94;0;0;0;0;0;0;0;0;0;0
4/5/21 2.00 AM;23.44;4.12;0.48;5.32;47;0;0;0;0;0;0;0;0;0;0
4/5/21 4.00 AM;11.72;5.19;0.57;6.54;23;0;0;0;0;0;0;0;0;0;0
4/5/21 6.00 AM;24.18;23.38;2.63;27.87;48;0;0;0;0;0;0;0;0;0;0
4/5/21 8.00 AM;11.97;37.25;8.09;50.11;25;0;0;0;0;0;0;0;0;0;0
4/5/21 10.00 AM;5.86;21.00;4.18;27.88;14;0;0;0;0;0;0;0;0;0;0
4/5/21 12.00 PM;2.93;17.70;3.14;22.97;11;0;0;0;0;0;0;0;0;0;0
4/5/21 2.00 PM;1.47;12.80;4.21;19.71;10;0;0;0;0;0;0;0;0;0;0
4/5/21 4.00 PM;0.73;11.62;3.39;17.29;9;0;0;0;0;0;0;0;0;0;0
4/5/21 6.00 PM;10.74;21.59;4.02;28.21;21;0;0;0;0;0;0;0;0;0;0
4/5/21 8.00 PM;10.50;27.10;5.35;35.76;21;0;0;0;0;0;0;0;0;0;0
4/5/21 10.00 PM;12.45;16.14;0.85;17.90;25;0;0;0;0;0;0;0;0;0;0
5/5/21 12.00 AM;12.94;13.63;0.21;14.41;26;0;0;0;0;0;0;0;0;0;0
5/5/21 2.00 AM;10.99;6.06;0.40;7.15;22;0;0;0;0;0;0;0;0;0;0
5/5/21 4.00 AM;11.48;6.76;0.65;8.23;23;0;0;0;0;0;0;0;0;0;0
5/5/21 6.00 AM;10.01;19.15;3.22;24.56;20;0;0;0;0;0;0;0;0;0;0
5/5/21 8.00 AM;15.38;18.36;5.35;27.03;31;0;0;0;0;0;0;0;0;0;0
5/5/21 10.00 AM;19.78;19.31;3.09;24.50;40;0;0;0;0;0;0;0;0;0;0
5/5/21 12.00 PM;17.09;20.71;6.40;31.00;34;0;0;0;0;0;0;0;0;0;0
5/5/21 2.00 PM;13.68;16.16;4.49;23.51;27;0;0;0;0;0;0;0;0;0;0
5/5/21 4.00 PM;17.09;13.66;3.72;19.83;34;0;0;0;0;0;0;0;0;0;0
5/5/21 6.00 PM;18.07;18.19;5.27;26.73;36;0;0;0;0;0;0;0;0;0;0
5/5/21 8.00 PM;11.97;31.86;5.51;40.77;24;0;0;0;0;0;0;0;0;0;0
5/5/21 10.00 PM;17.58;7.49;0.57;8.83;35;0;0;0;0;0;0;0;0;0;0
6/5/21 12.00 AM;17.58;6.61;0.35;7.60;35;0;0;0;0;0;0;0;0;0;0
6/5/21 2.00 AM;45.67;2.13;0.38;3.18;91;0;0;0;0;0;0;0;0;0;0
6/5/21 4.00 AM;22.71;6.49;0.74;8.10;45;0;0;0;0;0;0;0;0;0;0
6/5/21 6.00 AM;14.16;17.40;1.60;20.31;28;0;0;0;0;0;0;0;0;0;0
6/5/21 8.00 AM;7.08;15.22;3.12;20.46;14;0;0;0;0;0;0;0;0;0;0
6/5/21 10.00 AM;3.42;7.22;1.03;9.26;7;0;0;0;0;0;0;0;0;0;0
6/5/21 12.00 PM;20.76;15.43;3.83;21.76;42;0;0;0;0;0;0;0;0;0;0
6/5/21 2.00 PM;10.26;15.40;3.54;21.29;21;0;0;0;0;0;0;0;0;0;0
6/5/21 4.00 PM;17.34;16.17;3.22;21.57;35;0;0;0;0;0;0;0;0;0;0
6/5/21 6.00 PM;13.43;11.07;1.95;14.52;27;0;0;0;0;0;0;0;0;0;0
6/5/21 8.00 PM;17.34;10.23;1.02;12.26;35;0;0;0;0;0;0;0;0;0;0
6/5/21 10.00 PM;15.87;6.94;0.58;8.30;32;0;0;0;0;0;0;0;0;0;0
7/5/21 12.00 AM;12.45;6.10;0.48;7.29;25;0;0;0;0;0;0;0;0;0;0
7/5/21 2.00 AM;11.23;4.41;0.95;6.33;22;0;0;0;0;0;0;0;0;0;0
7/5/21 4.00 AM;12.21;8.18;1.10;10.33;24;0;0;0;0;0;0;0;0;0;0
7/5/21 6.00 AM;10.01;27.72;8.04;40.51;20;0;0;0;0;0;0;0;0;0;0
7/5/21 8.00 AM;12.21;16.50;2.40;20.64;24;0;0;0;0;0;0;0;0;0;0
7/5/21 10.00 AM;10.26;8.59;1.17;10.85;21;0;0;0;0;0;0;0;0;0;0
7/5/21 12.00 PM;38.83;8.83;1.33;11.33;78;0;0;0;0;0;0;0;0;0;0
7/5/21 2.00 PM;19.29;10.52;1.65;13.51;39;0;0;0;0;0;0;0;0;0;0
7/5/21 4.00 PM;21.25;16.70;3.13;21.97;42;0;0;0;0;0;0;0;0;0;0
7/5/21 6.00 PM;22.22;24.07;4.74;31.79;44;0;0;0;0;0;0;0;0;0;0
7/5/21 8.00 PM;22.71;12.67;1.11;14.85;45;0;0;0;0;0;0;0;0;0;0
7/5/21 10.00 PM;21.73;8.35;0.57;9.70;43;0;0;0;0;0;0;0;0;0;0
8/5/21 12.00 AM;19.54;4.23;0.41;5.32;39;0;0;0;0;0;0;0;0;0;0
8/5/21 2.00 AM;14.16;2.81;0.05;3.35;28;0;0;0;0;0;0;0;0;0;0
8/5/21 4.00 AM;11.48;4.43;0.62;5.85;23;0;0;0;0;0;0;0;0;0;0
8/5/21 6.00 AM;12.70;7.53;0.70;9.06;25;0;0;0;0;0;0;0;0;0;0
8/5/21 8.00 AM;46.89;10.25;1.30;12.71;94;0;0;0;0;0;0;0;0;0;0
8/5/21 10.00 AM;23.44;10.27;2.94;15.25;47;0;0;0;0;0;0;0;0;0;0
8/5/21 12.00 PM;11.72;9.81;2.66;14.35;23;0;0;0;0;0;0;0;0;0;0
8/5/21 2.00 PM;5.86;6.80;2.14;10.55;12;0;0;0;0;0;0;0;0;0;0
8/5/21 4.00 PM;36.39;8.60;2.13;12.32;73;0;0;0;0;0;0;0;0;0;0
